model,source,f1,previous,external_f1,external_f1_clean,f1_std,f1_lo,f1_hi,params,delta_vs_previous
CharBiLSTM,"single run, seed 42",0.9605,0.963,0.9476,0.9398,,,,,-0.0025
CharBiRNN,"single run, seed 42",0.9586,0.9602,0.9395,0.9306,,,,,-0.0016
CharBiGRU,"single run, seed 42",0.9582,0.9643,0.9449,0.9366,,,,,-0.0061
CharTransformer,"single run, seed 42",0.9579,0.9591,0.9474,0.9384,,,,,-0.0012
WordTransformer,"single run, seed 42",0.9357,0.9424,0.8554,0.8358,,,,,-0.0067
WordBiLSTM,"single run, seed 42",0.9353,0.9392,0.8529,0.8331,,,,,-0.0039
WordBiRNN,"single run, seed 42",0.9315,0.9382,0.8532,0.8346,,,,,-0.0067
WordBiGRU,"single run, seed 42",0.9286,0.9388,0.8525,0.8335,,,,,-0.0102
CharBiGRU,5 seeds,0.959331,0.9643,0.9449,0.9366,0.001214,0.957825,0.960838,86065.0,-0.005
CharBiLSTM,5 seeds,0.958918,0.963,0.9476,0.9398,0.000682,0.958072,0.959764,114097.0,-0.0041
CharBiRNN,5 seeds,0.957375,0.9602,0.9395,0.9306,0.001039,0.956085,0.958665,30001.0,-0.0028
CharTransformer,5 seeds,0.95535,0.9591,0.9474,0.9384,0.001837,0.95307,0.95763,605953.0,-0.0037
WordTransformer,5 seeds,0.936462,0.9424,0.8554,0.8358,0.00135,0.934786,0.938139,6126721.0,-0.0059
WordBiLSTM,5 seeds,0.934351,0.9392,0.8529,0.8331,0.001136,0.93294,0.935761,2544289.0,-0.0048
WordBiGRU,5 seeds,0.933453,0.9388,0.8525,0.8335,0.001103,0.932084,0.934823,2507041.0,-0.0053
WordBiRNN,5 seeds,0.932328,0.9382,0.8532,0.8346,0.003428,0.928073,0.936584,2432545.0,-0.0059
TF-IDF+SVM,5 seeds,0.9628,,0.946,0.9377,0.0,0.9628,0.9628,,
TF-IDF+LR,5 seeds,0.9602,,0.944,0.9343,0.0,0.9602,0.9602,,
TF-IDF+RF,5 seeds,0.9196,,0.9157,0.9006,0.0024,0.9166,0.9225,,
IndoBERT,5 seeds,0.9578,0.9613,0.9339,0.9233,0.0006,0.9571,0.9585,124442882.0,-0.0035
mBERT,5 seeds,0.9608,0.9629,0.9353,0.9248,0.0013,0.9592,0.9624,177854978.0,-0.0021
XLM-R,5 seeds,0.9617,0.9634,0.9368,0.9266,0.0012,0.9602,0.9631,278045186.0,-0.0017
