Model,Seed,accuracy,precision,recall,f1,train_s
TF-IDF+SVM,42,0.9627582741945613,0.9777126846663271,0.9483631871525633,0.9628143224430927,1.2
TF-IDF+LR,42,0.9601205802926585,0.9755226925038246,0.9452748610253243,0.9601606123345253,1.8
TF-IDF+RF,42,0.9195503359919613,0.9545090715048026,0.8838789376158123,0.9178372137771792,10.3
TF-IDF+SVM,7,0.9627582741945613,0.9777126846663271,0.9483631871525633,0.9628143224430927,1.2
TF-IDF+LR,7,0.9601205802926585,0.9755226925038246,0.9452748610253243,0.9601606123345253,1.6
TF-IDF+RF,7,0.9211203918859512,0.9556295802798135,0.8859789993823348,0.9194871794871795,11.5
TF-IDF+SVM,123,0.9627582741945613,0.9777126846663271,0.9483631871525633,0.9628143224430927,1.2
TF-IDF+LR,123,0.9601205802926585,0.9755226925038246,0.9452748610253243,0.9601606123345253,1.8
TF-IDF+RF,123,0.9190479181058846,0.9557996249665148,0.8815318097591106,0.9171647066383908,11.4
TF-IDF+SVM,2024,0.9627582741945613,0.9777126846663271,0.9483631871525633,0.9628143224430927,1.2
TF-IDF+LR,2024,0.9601205802926585,0.9755226925038246,0.9452748610253243,0.9601606123345253,1.7
TF-IDF+RF,2024,0.9243233059096904,0.9531702183635885,0.8951204447189623,0.9232337389310059,10.7
TF-IDF+SVM,777,0.9627582741945613,0.9777126846663271,0.9483631871525633,0.9628143224430927,1.1
TF-IDF+LR,777,0.9601205802926585,0.9755226925038246,0.9452748610253243,0.9601606123345253,1.6
TF-IDF+RF,777,0.9215600075362683,0.9536178107606679,0.8889437924644843,0.9201457707307718,10.8
