Model,Seed,Params,best_epoch,train_s,val_accuracy,val_precision,val_recall,val_f1,ext_accuracy,ext_precision,ext_recall,ext_f1
IndoBERT,42,124442882,2,1382.7,0.9576084908622747,0.9635182408795602,0.952686843730698,0.9580719299335363,0.9372448979591836,0.9207248018120046,0.9387990762124712,0.9296740994854202
IndoBERT,7,124442882,4,2135.2,0.9582993154556302,0.9685962920923193,0.948733786287832,0.9585621567648527,0.9443877551020409,0.9355581127733027,0.9387990762124712,0.9371757925072046
IndoBERT,123,124442882,3,1768.5,0.957106072976198,0.9719816607233825,0.942804200123533,0.9571706277042704,0.9428571428571428,0.9383720930232559,0.9318706697459584,0.9351100811123986
IndoBERT,2024,124442882,4,2109.3,0.957106072976198,0.9691139240506329,0.9457689932056825,0.9572991559862457,0.9418367346938775,0.9382284382284383,0.9295612009237876,0.9338747099767981
IndoBERT,777,124442882,3,1752.3,0.9579853042768323,0.9735969387755102,0.9429277331686227,0.958016943834327,0.9418367346938775,0.9392523364485982,0.9284064665127021,0.9337979094076655
mBERT,42,177854978,4,2275.9,0.9613138227720907,0.9728157794917183,0.9504632489190858,0.9615096225943515,0.9464285714285714,0.9398843930635838,0.9387990762124712,0.9393414211438474
mBERT,7,177854978,2,1523.0,0.9615650317151291,0.9654185844010449,0.9587399629400865,0.9620676831535887,0.9428571428571428,0.930365296803653,0.941108545034642,0.9357060849598163
mBERT,123,177854978,4,2255.8,0.960497393707216,0.9749363867684478,0.9466337245213094,0.9605766217486681,0.9413265306122449,0.9381563593932322,0.9284064665127021,0.9332559489262914
mBERT,2024,177854978,4,2276.2,0.9608742071217735,0.9729113924050633,0.9494749845583693,0.9610503282275711,0.9479591836734694,0.9390804597701149,0.9434180138568129,0.9412442396313364
mBERT,777,177854978,2,1505.0,0.9590529422847454,0.9823720025923526,0.9362569487337863,0.9587602783048703,0.936734693877551,0.9491525423728814,0.9053117782909931,0.9267139479905437
XLM-R,42,278045186,4,2616.7,0.9613766250078503,0.9699673284744911,0.9535515750463249,0.9616894038497477,0.9459183673469388,0.9279279279279279,0.9515011547344111,0.9395667046750285
XLM-R,7,278045186,5,3033.6,0.9623186585442441,0.9699059561128527,0.9555281037677579,0.9626633478531424,0.9413265306122449,0.9321058688147296,0.9353348729792148,0.9337175792507204
XLM-R,123,278045186,3,2202.4,0.9606229981787352,0.9771275236391516,0.9446571957998765,0.9606180516299228,0.9474489795918367,0.9420625724217845,0.9387990762124712,0.940427993059572
XLM-R,2024,278045186,3,2190.4,0.9603089869999372,0.9755320504651459,0.9456454601605929,0.9603562915568937,0.9443877551020409,0.9355581127733027,0.9387990762124712,0.9371757925072046
XLM-R,777,278045186,6,3455.5,0.9627582741945613,0.9725371630133535,0.9536751080914144,0.9630137840703549,0.9408163265306122,0.930045871559633,0.9364896073903002,0.9332566168009206
