char_model,other,n_seeds,char_right_other_wrong_per_seed,other_right_char_wrong_per_seed,p_min,p_median,p_max,seeds_separating,favours,separates_in_all_seeds
CharBiLSTM,TF-IDF+RF,5,802,205,1.6239436110212682e-92,4.278969518206406e-84,4.321464050346064e-71,5,CharBiLSTM,True
CharBiGRU,TF-IDF+RF,5,799,195,1.9590555986172487e-100,6.422362558401397e-84,4.921174748020921e-75,5,CharBiGRU,True
CharBiRNN,TF-IDF+RF,5,778,204,1.856569330112238e-86,8.259119398626892e-78,7.293071328313348e-74,5,CharBiRNN,True
CharTransformer,TF-IDF+RF,5,786,247,2.0135777840605725e-77,3.444427829139164e-69,3.060212518900972e-52,5,CharTransformer,True
CharBiGRU,WordBiGRU,5,700,276,3.82807195435411e-48,5.824006212665492e-43,2.1794607781287037e-38,5,CharBiGRU,True
CharBiRNN,WordBiRNN,5,708,301,2.5677559657978153e-49,1.4724647602369448e-40,1.4175526365183985e-29,5,CharBiRNN,True
CharBiLSTM,WordBiGRU,5,707,289,6.431973395640579e-44,4.671090102178252e-40,1.4932697772794116e-38,5,CharBiLSTM,True
CharBiGRU,WordBiRNN,5,710,272,7.1046003402038e-61,7.406413117108058e-40,7.180433061485661e-35,5,CharBiGRU,True
CharBiGRU,WordBiLSTM,5,686,275,1.3957281390333383e-48,1.9521453233753905e-39,4.4928670673500656e-33,5,CharBiGRU,True
CharBiLSTM,WordBiRNN,5,722,291,7.041658343915257e-52,4.751432085217303e-39,2.590776972056154e-35,5,CharBiLSTM,True
CharBiLSTM,WordBiLSTM,5,692,288,1.9206396243024772e-41,8.581159781487931e-39,6.8497209884009786e-37,5,CharBiLSTM,True
CharBiRNN,WordBiGRU,5,696,302,4.7926536600472154e-45,7.0047285526871995e-37,6.118120411804991e-30,5,CharBiRNN,True
CharBiGRU,WordTransformer,5,660,282,2.2731100332931467e-39,1.3830863194935094e-34,1.0140103854373902e-33,5,CharBiGRU,True
CharBiRNN,WordBiLSTM,5,681,302,1.566238905816406e-41,8.986196854892126e-33,9.845020017426955e-28,5,CharBiRNN,True
CharBiLSTM,WordTransformer,5,664,293,3.705507415051869e-41,4.9002729046601265e-32,3.349743001563558e-30,5,CharBiLSTM,True
CharTransformer,WordBiLSTM,5,686,340,5.027128752862908e-32,2.452926528982025e-31,6.212712303871141e-19,5,CharTransformer,True
CharBiRNN,WordTransformer,5,656,310,1.0961988700973556e-35,1.636348636353597e-30,1.5504888808914073e-22,5,CharBiRNN,True
CharTransformer,WordBiRNN,5,716,344,3.2786479583234065e-41,1.9254496507962034e-30,1.140886462506768e-18,5,CharTransformer,True
CharTransformer,WordBiGRU,5,702,342,6.498783559297917e-34,2.4942409303157652e-29,9.148102005624823e-23,5,CharTransformer,True
CharTransformer,WordTransformer,5,660,348,1.0685155502345644e-27,2.2852155361737118e-24,1.5204000770921562e-15,5,CharTransformer,True
CharTransformer,TF-IDF+SVM,5,197,321,1.5942171775645385e-13,4.3419709789454177e-07,6.500686809983535e-06,5,TF-IDF+SVM,True
CharBiRNN,TF-IDF+SVM,5,170,260,8.480181565029331e-07,5.488478902296341e-06,0.0016887733129139746,5,TF-IDF+SVM,True
CharTransformer,XLM-R,5,195,298,2.009295138136361e-14,0.00013322720452796168,0.0022417437576692984,5,XLM-R,True
CharTransformer,mBERT,5,207,298,1.53124678980216e-06,0.00021397422897185666,0.0006208170315920952,5,mBERT,True
CharBiRNN,XLM-R,5,192,261,6.701948846078776e-06,0.00027166996849774694,0.26259642285455587,4,XLM-R,False
CharBiGRU,CharTransformer,5,256,191,5.067628147775635e-07,0.0011065454720735018,0.11224581997783345,3,CharBiGRU,False
CharTransformer,TF-IDF+LR,5,214,296,1.7048150697425233e-08,0.0012605287437809894,0.008246164013413163,5,TF-IDF+LR,True
CharBiGRU,TF-IDF+SVM,5,171,230,0.00011513216206876043,0.002622551513966882,0.09374368765927035,4,TF-IDF+SVM,False
CharBiLSTM,TF-IDF+SVM,5,183,249,0.00023359907551708304,0.004065308933657242,0.006930440009487578,5,TF-IDF+SVM,True
CharBiRNN,mBERT,5,207,264,0.00027644228278844474,0.004431871311181135,0.11743621550414399,3,mBERT,False
CharBiRNN,TF-IDF+LR,5,173,220,0.0025574901287066755,0.009325817119210392,0.2826036059552213,4,TF-IDF+LR,False
CharBiLSTM,CharTransformer,5,252,193,1.5917439300611139e-07,0.03298829778450857,0.18630662292096595,3,CharBiLSTM,False
CharBiLSTM,XLM-R,5,197,242,0.0020559577090616425,0.0766406262308268,0.29589857553964893,2,XLM-R,False
CharBiGRU,XLM-R,5,189,227,0.0023682737846317144,0.07850139704638584,0.5785514744049528,2,XLM-R,False
CharBiRNN,CharBiGRU,5,183,214,0.0007085117113322438,0.10387861637431736,0.6858414338682813,2,CharBiGRU,False
CharBiRNN,CharBiLSTM,5,200,224,0.023954976090651385,0.10636779577948771,0.6218800460354724,2,CharBiLSTM,False
CharBiLSTM,mBERT,5,212,244,0.008819284421353407,0.13664690086794468,0.9292340284425379,2,mBERT,False
CharBiRNN,CharTransformer,5,254,220,0.0003488286325018775,0.17438163632040893,0.9644063995573147,2,CharBiRNN,False
CharTransformer,IndoBERT,5,255,297,4.745601460188784e-05,0.20847412271014995,0.4955125020674435,1,IndoBERT,False
CharBiGRU,mBERT,5,208,233,0.043426092510423196,0.23644138884183696,0.9634482235051822,2,mBERT,False
CharBiLSTM,CharBiGRU,5,166,173,0.10817091170934776,0.24158125577536843,1.0,0,CharBiGRU,False
CharBiLSTM,TF-IDF+LR,5,199,223,0.0875481749176029,0.3572984991175047,0.5460403800194462,0,TF-IDF+LR,False
CharBiGRU,TF-IDF+LR,5,180,196,0.06484658024456454,0.3614514446248213,0.9577418888759971,0,TF-IDF+LR,False
CharBiRNN,IndoBERT,5,247,255,0.24475697099090052,0.41945747266651556,0.671256663367528,0,IndoBERT,False
CharBiGRU,IndoBERT,5,254,231,0.03254285385610844,0.47208687923749304,0.6879537398739828,1,CharBiGRU,False
CharBiLSTM,IndoBERT,5,266,249,0.16006192004267986,0.5546259101009698,0.8969142335234441,0,CharBiLSTM,False
