first_token,male,female,total,share_of_training_pct,female_pct
MUHAMMAD,6505,15,6520,3.85,0.23
MUHAMAD,1713,1,1714,1.012,0.06
AHMAD,1206,3,1209,0.714,0.25
DWI,462,511,973,0.575,52.52
SITI,3,841,844,0.498,99.64
NUR,257,549,806,0.476,68.11
PUTRI,7,752,759,0.448,99.08
ACHMAD,721,2,723,0.427,0.28
DIMAS,710,3,713,0.421,0.42
RIZKY,589,118,707,0.418,16.69
MOHAMMAD,640,2,642,0.379,0.31
M,611,5,616,0.364,0.81
TRI,330,279,609,0.36,45.81
AGUNG,601,5,606,0.358,0.83
WAHYU,472,80,552,0.326,14.49
DIAN,148,397,545,0.322,72.84
RIZKI,416,129,545,0.322,23.67
ADITYA,528,13,541,0.319,2.4
EKA,168,372,540,0.319,68.89
ADE,386,145,531,0.314,27.31
