suffix,n_training,points_to,share_pct
nti,3682,female,99.16
nty,339,female,99.12
ewi,677,female,99.11
rum,502,female,98.61
aty,249,female,98.39
nah,617,female,97.24
tri,2740,female,96.97
iwi,730,female,96.85
hra,367,female,96.46
iah,688,female,96.22
uti,701,female,95.72
via,271,female,95.57
ina,1617,female,95.3
ini,1622,female,95.19
sih,1245,female,95.18
diq,103,male,100.0
mam,62,male,100.0
ino,174,male,99.43
rio,165,male,99.39
hyo,142,male,99.3
rdo,104,male,99.04
tro,520,male,99.04
fal,88,male,98.86
aqi,84,male,98.81
ozi,74,male,98.65
tra,3895,male,98.49
dho,65,male,98.46
rok,65,male,98.46
zan,191,male,98.43
fiq,58,male,98.28
