Model,Seed,internal_f1,external_acc,external_prec,external_rec,external_f1,train_s
TF-IDF+SVM,42,0.9628143224430927,0.9520408163265306,0.9406392694063926,0.9515011547344111,0.9460390355912744,1.3
TF-IDF+LR,42,0.9601606123345253,0.9505102040816327,0.9445086705202312,0.9434180138568129,0.9439630271519353,2.5
TF-IDF+RF,42,0.9178372137771792,0.9295918367346939,0.9396135265700483,0.8983833718244804,0.9185360094451004,13.2
TF-IDF+SVM,7,0.9628143224430927,0.9520408163265306,0.9406392694063926,0.9515011547344111,0.9460390355912744,1.3
TF-IDF+LR,7,0.9601606123345253,0.9505102040816327,0.9445086705202312,0.9434180138568129,0.9439630271519353,2.6
TF-IDF+RF,7,0.9194871794871795,0.9285714285714286,0.9384057971014492,0.8972286374133949,0.9173553719008264,15.3
TF-IDF+SVM,123,0.9628143224430927,0.9520408163265306,0.9406392694063926,0.9515011547344111,0.9460390355912744,1.2
TF-IDF+LR,123,0.9601606123345253,0.9505102040816327,0.9445086705202312,0.9434180138568129,0.9439630271519353,2.4
TF-IDF+RF,123,0.9171647066383908,0.9244897959183673,0.9421182266009852,0.8833718244803695,0.9117997616209774,16.0
TF-IDF+SVM,2024,0.9628143224430927,0.9520408163265306,0.9406392694063926,0.9515011547344111,0.9460390355912744,1.3
TF-IDF+LR,2024,0.9601606123345253,0.9505102040816327,0.9445086705202312,0.9434180138568129,0.9439630271519353,2.5
TF-IDF+RF,2024,0.9232337389310059,0.926530612244898,0.9287410926365796,0.9030023094688222,0.9156908665105387,15.7
TF-IDF+SVM,777,0.9628143224430927,0.9520408163265306,0.9406392694063926,0.9515011547344111,0.9460390355912744,1.2
TF-IDF+LR,777,0.9601606123345253,0.9505102040816327,0.9445086705202312,0.9434180138568129,0.9439630271519353,2.4
TF-IDF+RF,777,0.9201457707307718,0.926530612244898,0.9338942307692307,0.8972286374133949,0.9151943462897526,15.8
