Family,Model,Seed,external_full,external_clean,external_clean_dedup
from scratch,CharBiRNN,42,0.9386115892139989,0.9285208775654635,0.9273827534039335
from scratch,CharBiRNN,7,0.9468267581475129,0.9400986610288936,0.937640871525169
from scratch,CharBiRNN,123,0.9354094579008072,0.9259259259259259,0.9265707797123391
from scratch,CharBiRNN,2024,0.9415105053946621,0.9307207837648706,0.9282511210762331
from scratch,CharBiRNN,777,0.9353916523727844,0.9277620396600567,0.9284099472494347
from scratch,CharBiLSTM,42,0.9477311889718552,0.9397590361445785,0.9388679245283018
from scratch,CharBiLSTM,7,0.9459920409323479,0.9389473684210526,0.9364248317127898
from scratch,CharBiLSTM,123,0.9451817657241778,0.9365645046329295,0.9345509893455098
from scratch,CharBiLSTM,2024,0.9516685845799769,0.9438521677327647,0.9408194233687404
from scratch,CharBiLSTM,777,0.9473684210526315,0.940014114326041,0.9367469879518071
from scratch,CharBiGRU,42,0.9426605504587156,0.93342776203966,0.93293142426526
from scratch,CharBiGRU,7,0.9438073394495412,0.934844192634561,0.9312169312169313
from scratch,CharBiGRU,123,0.9453302961275626,0.936140350877193,0.9333333333333333
from scratch,CharBiGRU,2024,0.9458689458689459,0.9415081042988019,0.9390519187358916
from scratch,CharBiGRU,777,0.9468267581475129,0.9371912491178546,0.9361382419233659
from scratch,CharTransformer,42,0.9465824238943137,0.9375886524822695,0.9380664652567975
from scratch,CharTransformer,7,0.9458071876782659,0.935960591133005,0.9363295880149813
from scratch,CharTransformer,123,0.9461626575028635,0.9363507779349364,0.9335347432024169
from scratch,CharTransformer,2024,0.9496567505720824,0.940677966101695,0.9374529012810852
from scratch,CharTransformer,777,0.9488636363636365,0.9411764705882353,0.9387144992526159
from scratch,WordBiRNN,42,0.8574369531652084,0.83875,0.8404825737265416
from scratch,WordBiRNN,7,0.8536209553158707,0.8336448598130841,0.8363393453573814
from scratch,WordBiRNN,123,0.8508002065049046,0.8344784509681449,0.8359008707300738
from scratch,WordBiRNN,2024,0.8524590163934427,0.8328154133001865,0.8341105929380414
from scratch,WordBiRNN,777,0.8518327310273619,0.8333333333333334,0.8354600402955004
from scratch,WordBiLSTM,42,0.8505154639175257,0.8303068252974326,0.8322147651006712
from scratch,WordBiLSTM,7,0.8528652555498192,0.8320802005012531,0.8333333333333334
from scratch,WordBiLSTM,123,0.8524421593830335,0.832398753894081,0.8336673346693386
from scratch,WordBiLSTM,2024,0.8533196088522901,0.8342714196372734,0.8364611260053619
from scratch,WordBiLSTM,777,0.8555269922879177,0.8364544319600499,0.8380187416331993
from scratch,WordBiGRU,42,0.8543489449305197,0.8367729831144465,0.8391420911528151
from scratch,WordBiGRU,7,0.8518518518518519,0.8309419837804116,0.8328877005347592
from scratch,WordBiGRU,123,0.8496124031007752,0.8317698561600999,0.8329979879275654
from scratch,WordBiGRU,2024,0.8553782810087494,0.8362499999999998,0.8385800401875417
from scratch,WordBiGRU,777,0.851413881748072,0.8318804483188045,0.8350033400133601
