partition,char_model,baseline,char_f1,baseline_f1,diff_pp,ci95_lo_pp,ci95_hi_pp,cohens_dz,p_raw,family,p_holm_pooled,p_holm_grouped,verdict_pooled,verdict,matched_pair,worst_case_deficit_pp,within_margin
internal 2024-2025,CharBiRNN,IndoBERT,0.9574,0.9578,-0.045,-0.202,0.112,-0.36,0.47104622391048945,character against pretrained,0.47104622391048945,0.47104622391048945,no difference shown,no difference shown,False,0.202,True
internal 2024-2025,CharBiRNN,mBERT,0.9574,0.9608,-0.342,-0.536,-0.148,-2.18,0.008133494028518786,character against pretrained,0.08078747826190374,0.06462998260952299,no difference shown,no difference shown,False,0.536,False
internal 2024-2025,CharBiRNN,XLM-R,0.9574,0.9617,-0.429,-0.646,-0.213,-2.46,0.005308391097676701,character against pretrained,0.06900908426979711,0.05839230207444371,no difference shown,no difference shown,False,0.646,False
internal 2024-2025,CharBiRNN,TF-IDF+SVM,0.9574,0.9628,-0.544,-0.673,-0.415,-5.23,0.0003046638600462414,character against classical,0.005788613340878587,0.00213264702032369,baseline better,baseline better,False,0.673,False
internal 2024-2025,CharBiRNN,TF-IDF+LR,0.9574,0.9602,-0.279,-0.408,-0.15,-2.68,0.0038962758844928893,character against classical,0.05844413826739334,0.015585103537971557,no difference shown,baseline better,False,0.408,True
internal 2024-2025,CharBiRNN,TF-IDF+RF,0.9574,0.9196,3.78,3.606,3.955,26.88,4.590857261740447e-07,character against classical,1.74452575946137e-05,5.509028714088537e-06,character better,character better,False,0.0,True
internal 2024-2025,CharBiRNN,WordBiRNN,0.9574,0.9323,2.505,2.079,2.93,7.31,8.205374191301638e-05,character against word,0.0018872360639993768,0.00028568809654325124,character better,character better,True,0.0,True
internal 2024-2025,CharBiRNN,WordBiLSTM,0.9574,0.9344,2.302,2.073,2.532,12.47,9.835263581119431e-06,character against word,0.0003048931710147024,9.835263581119431e-05,character better,character better,False,0.0,True
internal 2024-2025,CharBiRNN,WordBiGRU,0.9574,0.9335,2.392,2.142,2.642,11.89,1.1891822607744117e-05,character against word,0.00035675467823232353,0.00010702640346969705,character better,character better,False,0.0,True
internal 2024-2025,CharBiRNN,WordTransformer,0.9574,0.9365,2.091,1.843,2.34,10.46,1.982540422779718e-05,character against word,0.0005352859141505239,0.00013877782959458026,character better,character better,False,0.0,True
