Model,Seed,mechanism,level,mean_entropy_bits,sd_entropy_bits,mean_norm_entropy,n,n_norm_defined
CharBiRNN,42,pooling attention,char,2.927457,0.73496,0.685454,15923,15923
CharBiRNN,7,pooling attention,char,3.048178,0.525971,0.713012,15923,15923
CharBiRNN,123,pooling attention,char,3.234144,0.636909,0.757198,15923,15923
CharBiRNN,2024,pooling attention,char,2.990589,0.566452,0.700245,15923,15923
CharBiRNN,777,pooling attention,char,3.224796,0.545677,0.753637,15923,15923
CharBiLSTM,42,pooling attention,char,3.678761,0.457282,0.86062,15923,15923
CharBiLSTM,7,pooling attention,char,3.633574,0.444747,0.849528,15923,15923
CharBiLSTM,123,pooling attention,char,3.447429,0.479894,0.806286,15923,15923
CharBiLSTM,2024,pooling attention,char,3.384553,0.511478,0.791522,15923,15923
CharBiLSTM,777,pooling attention,char,3.781172,0.454469,0.883806,15923,15923
CharBiGRU,42,pooling attention,char,3.587783,0.508828,0.838374,15923,15923
CharBiGRU,7,pooling attention,char,3.223671,0.853903,0.754291,15923,15923
CharBiGRU,123,pooling attention,char,3.020763,0.787704,0.706668,15923,15923
CharBiGRU,2024,pooling attention,char,3.524276,0.4644,0.823631,15923,15923
CharBiGRU,777,pooling attention,char,3.511144,0.459575,0.821162,15923,15923
CharTransformer,42,pooling attention,char,2.945859,0.441467,0.690036,15923,15923
CharTransformer,7,pooling attention,char,3.428799,0.394823,0.804773,15923,15923
CharTransformer,123,pooling attention,char,3.507585,0.37293,0.821977,15923,15923
CharTransformer,2024,pooling attention,char,3.687501,0.351302,0.863901,15923,15923
CharTransformer,777,pooling attention,char,3.495868,0.424477,0.817902,15923,15923
WordBiRNN,42,pooling attention,word,0.64653,0.475966,0.437722,15923,15782
WordBiRNN,7,pooling attention,word,0.593037,0.49484,0.402154,15923,15782
WordBiRNN,123,pooling attention,word,0.705191,0.486007,0.47212,15923,15782
WordBiRNN,2024,pooling attention,word,0.695136,0.48761,0.465726,15923,15782
WordBiRNN,777,pooling attention,word,0.88161,0.458873,0.59242,15923,15782
WordBiLSTM,42,pooling attention,word,1.117188,0.42455,0.759247,15923,15782
WordBiLSTM,7,pooling attention,word,0.560506,0.469406,0.38204,15923,15782
WordBiLSTM,123,pooling attention,word,0.922332,0.468623,0.629603,15923,15782
WordBiLSTM,2024,pooling attention,word,0.906951,0.475573,0.619788,15923,15782
WordBiLSTM,777,pooling attention,word,1.173311,0.368823,0.794847,15923,15782
WordBiGRU,42,pooling attention,word,0.809182,0.451207,0.554145,15923,15782
WordBiGRU,7,pooling attention,word,0.533447,0.453102,0.366646,15923,15782
WordBiGRU,123,pooling attention,word,0.868006,0.456721,0.594742,15923,15782
WordBiGRU,2024,pooling attention,word,0.938326,0.420522,0.632179,15923,15782
WordBiGRU,777,pooling attention,word,1.040701,0.413701,0.705509,15923,15782
WordTransformer,42,pooling attention,word,1.232296,0.350717,0.82859,15923,15782
WordTransformer,7,pooling attention,word,1.207718,0.356094,0.812561,15923,15782
WordTransformer,123,pooling attention,word,1.287974,0.338156,0.865635,15923,15782
WordTransformer,2024,pooling attention,word,1.306348,0.357885,0.874709,15923,15782
WordTransformer,777,pooling attention,word,1.381905,0.340114,0.926549,15923,15782
