row_id,n_tokens,suffix3,label,CharBiRNN__seed42,CharBiRNN__seed7,CharBiRNN__seed123,CharBiRNN__seed2024,CharBiRNN__seed777,CharBiLSTM__seed42,CharBiLSTM__seed7,CharBiLSTM__seed123,CharBiLSTM__seed2024,CharBiLSTM__seed777,CharBiGRU__seed42,CharBiGRU__seed7,CharBiGRU__seed123,CharBiGRU__seed2024,CharBiGRU__seed777,CharTransformer__seed42,CharTransformer__seed7,CharTransformer__seed123,CharTransformer__seed2024,CharTransformer__seed777,WordBiRNN__seed42,WordBiRNN__seed7,WordBiRNN__seed123,WordBiRNN__seed2024,WordBiRNN__seed777,WordBiLSTM__seed42,WordBiLSTM__seed7,WordBiLSTM__seed123,WordBiLSTM__seed2024,WordBiLSTM__seed777,WordBiGRU__seed42,WordBiGRU__seed7,WordBiGRU__seed123,WordBiGRU__seed2024,WordBiGRU__seed777,WordTransformer__seed42,WordTransformer__seed7,WordTransformer__seed123,WordTransformer__seed2024,WordTransformer__seed777
1,2,dqi,0,0.000696,0.000513,0.000658,0.008915,0.000864,0.002699,0.001874,0.00158,0.000789,0.004415,0.001269,0.001754,0.002337,0.002105,0.004798,0.000348,0.00026,0.000381,0.000536,0.000573,3.8e-05,1.1e-05,0.001796,0.006345,0.000815,0.002268,2.3e-05,8.4e-05,0.003738,0.003197,6.1e-05,4.7e-05,0.000854,0.000358,0.000847,0.001184,0.00086,0.027205,0.000884,0.001303
2,2,owo,0,0.000178,8.4e-05,0.000359,0.004077,0.000189,0.001651,0.006775,0.000386,0.000758,0.002232,0.000533,0.002632,0.001651,0.009712,0.005471,0.000457,0.000571,0.001167,0.000741,0.000603,0.00543,0.000372,0.002293,0.000737,5.8e-05,0.000303,0.000291,0.000135,0.001031,2.9e-05,0.002458,0.00051,0.000526,1.5e-05,1.3e-05,0.001137,0.001251,0.003024,0.001372,0.001408
3,3,rto,0,0.000153,0.00073,0.000261,0.000443,0.000367,0.000183,0.000602,8.1e-05,0.000344,0.000788,0.000143,0.000428,0.000618,0.000369,0.000149,0.000129,0.000258,0.000216,0.000447,0.001354,0.000754,0.00017,0.001418,0.004346,0.009361,0.000275,0.000141,0.001009,0.000133,0.001393,9.7e-05,4.7e-05,0.00158,0.000449,8e-05,0.002347,0.001141,0.021576,0.001701,0.005957
4,2,tra,0,0.000259,0.003875,0.000451,0.000359,1.1e-05,0.001339,0.000223,0.000219,0.001596,0.000144,0.000992,0.001819,0.000459,0.000251,0.005886,0.000221,0.000322,0.000427,0.000396,0.000446,0.000274,6e-05,5.1e-05,2.2e-05,3.9e-05,2e-06,1.5e-05,5e-06,0.0,3e-06,4e-06,4.2e-05,5.2e-05,0.0,2e-06,0.001652,0.001014,0.001397,0.000875,0.001187
5,3,sta,0,0.002949,0.034586,0.011817,0.001291,0.003543,0.002517,0.005564,0.005116,0.000395,0.002941,0.002779,0.002977,0.010794,0.003456,0.004726,0.000403,0.000363,0.00058,0.000439,0.001273,0.000646,0.001509,0.025756,0.017802,0.038626,0.000856,0.001167,0.265624,0.000709,0.003583,0.006571,0.071028,0.026755,0.000686,0.00073,0.004586,0.00424,0.026164,0.004144,0.019163
6,2,nri,0,0.000785,0.002165,0.002041,0.000333,0.006967,0.001172,0.000399,0.000286,0.000334,0.003262,0.001401,0.003392,0.000928,0.00806,0.001041,0.000217,0.000465,0.001317,0.000736,0.000848,0.009346,0.013696,0.037943,0.047323,0.02614,0.02462,0.061405,0.037571,0.060968,0.135125,0.042924,0.015403,0.034383,0.042293,0.028297,0.009879,0.037966,0.071841,0.019144,0.099015
7,2,ini,1,0.99421,0.987032,0.988707,0.994117,0.997423,0.988385,0.967672,0.862244,0.975853,0.996465,0.995628,0.996395,0.993113,0.982913,0.746621,0.996446,0.998261,0.992204,0.996775,0.998353,0.995085,0.997141,0.999746,0.991922,0.999268,0.996306,0.99202,0.999857,0.999763,0.987341,0.99801,0.996368,0.999281,0.999358,0.999454,0.998094,0.998763,0.998089,0.998552,0.997934
8,2,man,0,0.000346,0.000454,0.000196,0.000429,0.002327,0.001078,0.001768,0.000291,0.000344,0.0012,0.000448,0.001096,0.003398,0.002006,0.00047,0.000594,0.000616,0.00034,0.000362,0.000653,0.000273,0.002392,0.000194,0.001933,0.00048,0.003057,0.003492,0.000248,0.000674,6.5e-05,0.003948,0.007553,0.000379,6.8e-05,9.4e-05,0.001219,0.000852,0.00159,0.000856,0.00127
9,1,man,0,0.000288,0.0005,0.000154,0.001496,0.001738,0.000413,0.00263,0.000209,0.000148,0.000703,0.001268,0.001682,0.001676,0.002348,0.001197,0.000631,0.000533,0.00028,0.000562,0.000422,0.000475,3.1e-05,0.000327,0.000134,0.000116,0.000646,0.000667,0.000783,1.7e-05,0.000307,0.001027,0.001084,0.001872,6.5e-05,0.000266,0.000995,0.00084,0.001759,0.000814,0.000941
10,3,kma,1,0.002375,0.05019,0.009377,0.054185,0.218414,0.015266,0.014793,0.010942,0.002028,0.032682,0.038394,0.048919,0.009481,0.083962,0.055761,0.038149,0.086501,0.005858,0.009952,0.535888,0.001464,0.001388,0.003696,0.002671,0.003997,0.000857,0.00213,0.000362,0.002839,0.009469,0.000925,0.014246,0.00063,0.000161,0.004177,0.002459,0.001138,0.005259,0.00112,0.001329
11,2,ani,1,0.995472,0.987508,0.991389,0.995973,0.985232,0.987222,0.972958,0.98836,0.991045,0.975909,0.996857,0.994196,0.997956,0.9882,0.98456,0.98714,0.996761,0.995572,0.996237,0.998927,0.935037,0.766202,0.849981,0.986507,0.204527,0.750022,0.093553,0.185291,0.951196,0.740672,0.821907,0.479332,0.481243,0.853095,0.247405,0.736437,0.001353,0.994955,0.770507,0.460666
12,3,ana,0,0.022226,0.00061,0.007495,0.001503,0.00299,0.001219,0.010759,0.001645,0.000761,0.007592,0.001794,0.004586,0.002046,0.001368,0.001117,0.001746,0.000483,0.000966,0.000316,0.001285,0.000562,0.000496,0.00095,0.003207,0.002155,0.000124,0.000445,0.000173,4.6e-05,0.001307,0.000343,0.000607,0.000695,1.2e-05,0.000187,0.001906,0.001336,0.006353,0.002759,0.00401
13,3,ama,0,0.000466,0.015081,0.007688,0.000566,0.024462,0.001518,0.001486,0.001869,0.001701,0.010321,0.005517,0.013501,0.001419,0.015647,0.005405,0.000456,0.000254,0.000522,0.000342,0.001336,0.000279,0.000775,0.001731,0.000995,0.000383,0.000883,6.1e-05,4.1e-05,0.000129,0.000482,0.000151,0.000152,1.6e-05,1.7e-05,0.000131,0.003855,0.001824,0.004495,0.002289,0.00521
14,3,dro,0,0.029053,0.039128,0.017893,0.110223,0.014287,0.411923,0.757389,0.221874,0.473846,0.210894,0.027853,0.048225,0.050248,0.287377,0.40959,0.020694,0.006364,0.002661,0.001207,0.025589,7.1e-05,4.1e-05,0.000365,0.014892,0.356732,0.001314,0.00271,0.007108,0.000916,0.007544,0.004984,0.001645,0.00581,5.9e-05,0.001227,0.002181,0.001661,0.009993,0.001713,0.001643
15,3,ani,1,0.992403,0.998836,0.997086,0.998312,0.998948,0.995045,0.997547,0.99259,0.991952,0.996963,0.999121,0.99782,0.99927,0.998888,0.994204,0.999079,0.999418,0.999136,0.999565,0.999339,0.636916,0.924263,0.861344,0.794867,0.91226,0.856182,0.866927,0.903721,0.712558,0.587247,0.957448,0.39508,0.829782,0.94962,0.947361,0.898284,0.880388,0.500868,0.452072,0.513384
16,3,owo,0,0.000187,0.000153,0.000447,8.1e-05,0.000165,7.7e-05,0.00043,0.0002,3.9e-05,0.000363,0.000321,0.000353,0.000211,0.00087,0.000585,0.000155,0.00019,0.000313,0.000238,0.000257,1.7e-05,7e-06,9.1e-05,6.3e-05,6.4e-05,6e-06,5e-06,1e-06,3e-06,2e-06,5e-06,1e-06,1e-06,0.0,0.0,0.001341,0.000885,0.001336,0.000835,0.001212
17,3,ini,0,0.350716,0.114826,0.010041,0.001394,0.263901,0.235113,0.022956,0.143133,0.336858,0.128817,0.101717,0.352683,0.151015,0.054414,0.032853,0.0016,0.002629,0.000717,0.005489,0.001011,0.11529,0.977908,0.481938,0.070025,0.047942,0.010689,0.107332,0.004649,0.001462,0.000472,0.060368,0.982022,0.006635,0.006848,0.00121,0.59757,0.005535,0.417766,0.007333,0.60455
