Model,Seed,Params,Accuracy,Precision,Recall,F1,Ext_Accuracy,Ext_F1,Best_epoch,Train_s
CharBiRNN,42,30001,0.95629,0.970495,0.942681,0.956386,0.945408,0.938612,16,126.4
CharBiRNN,7,30001,0.957357,0.96665,0.948857,0.957671,0.952551,0.946827,13,110.0
CharBiRNN,123,30001,0.956415,0.969547,0.943916,0.95656,0.942857,0.935409,9,86.6
CharBiRNN,2024,30001,0.958739,0.969452,0.948734,0.958981,0.947449,0.941511,15,119.8
CharBiRNN,777,30001,0.956792,0.962417,0.952193,0.957278,0.942347,0.935392,13,108.0
CharBiLSTM,42,114097,0.959304,0.970436,0.948857,0.959525,0.953571,0.947731,12,113.6
CharBiLSTM,7,114097,0.958048,0.962396,0.954787,0.958576,0.951531,0.945992,10,101.4
CharBiLSTM,123,114097,0.959179,0.972698,0.946263,0.959299,0.951531,0.945182,16,142.1
CharBiLSTM,2024,114097,0.95786,0.973711,0.942557,0.957881,0.957143,0.951669,15,133.5
CharBiLSTM,777,114097,0.958865,0.964884,0.953799,0.959309,0.953061,0.947368,9,94.9
CharBiGRU,42,86065,0.960623,0.969922,0.952069,0.960913,0.94898,0.942661,8,87.5
CharBiGRU,7,86065,0.959995,0.973343,0.947251,0.96012,0.95,0.943807,8,82.7
CharBiGRU,123,86065,0.957734,0.967852,0.948363,0.958008,0.95102,0.94533,14,122.9
CharBiGRU,2024,86065,0.958174,0.971084,0.945893,0.958323,0.951531,0.945869,8,86.5
CharBiGRU,777,86065,0.958927,0.966754,0.951946,0.959293,0.952551,0.946827,11,103.4
CharTransformer,42,605953,0.956415,0.964595,0.949104,0.956787,0.952551,0.946582,36,465.1
CharTransformer,7,605953,0.955473,0.962203,0.949722,0.955922,0.951531,0.945807,33,434.1
CharTransformer,123,605953,0.955159,0.964857,0.946263,0.95547,0.952041,0.946163,26,356.6
CharTransformer,2024,605953,0.956038,0.964802,0.948116,0.956386,0.955102,0.949657,36,468.0
CharTransformer,777,605953,0.951768,0.959834,0.944657,0.952185,0.954082,0.948864,22,312.1
WordBiRNN,42,2432545,0.929473,0.942274,0.91748,0.929711,0.858673,0.857437,10,87.0
WordBiRNN,7,2432545,0.927652,0.943756,0.912044,0.927629,0.854592,0.853621,16,118.2
WordBiRNN,123,2432545,0.933995,0.934386,0.935886,0.935135,0.852551,0.8508,9,79.7
WordBiRNN,2024,2432545,0.933178,0.931403,0.937616,0.934499,0.853061,0.852459,10,84.7
WordBiRNN,777,2432545,0.933618,0.935304,0.934033,0.934668,0.853571,0.851833,10,85.5
WordBiLSTM,42,2544289,0.932927,0.934141,0.93391,0.934025,0.852041,0.850515,8,76.9
WordBiLSTM,7,2544289,0.932048,0.935644,0.930327,0.932978,0.854592,0.852865,9,82.1
WordBiLSTM,123,2544289,0.934937,0.935257,0.936875,0.936065,0.853571,0.852442,9,81.9
WordBiLSTM,2024,2544289,0.932927,0.934463,0.933539,0.934001,0.854592,0.85332,10,88.6
WordBiLSTM,777,2544289,0.933618,0.935089,0.93428,0.934685,0.856633,0.855527,7,71.6
WordBiGRU,42,2507041,0.934058,0.935038,0.935269,0.935153,0.855612,0.854349,8,74.3
WordBiGRU,7,2507041,0.932174,0.935336,0.930945,0.933135,0.853061,0.851852,9,82.0
WordBiGRU,123,2507041,0.932927,0.935756,0.932057,0.933903,0.851531,0.849612,9,82.5
WordBiGRU,2024,2507041,0.93142,0.932551,0.932551,0.932551,0.856633,0.855378,16,120.0
WordBiGRU,777,2507041,0.931483,0.933738,0.931316,0.932525,0.852551,0.851414,10,85.3
WordTransformer,42,6126721,0.9377,0.940797,0.93638,0.938583,0.855102,0.85406,7,90.8
WordTransformer,7,6126721,0.935376,0.936173,0.936751,0.936462,0.857143,0.855819,11,117.5
WordTransformer,123,6126721,0.933304,0.926604,0.943545,0.934998,0.854592,0.854962,7,91.2
WordTransformer,2024,6126721,0.934937,0.940692,0.930698,0.935668,0.854592,0.85347,11,119.9
WordTransformer,777,6126721,0.935502,0.936081,0.937122,0.936601,0.859184,0.858462,7,91.1
