Model,Seed,epoch,train_loss,train_f1,dev_loss,dev_f1,lr,epoch_s
CharBiRNN,42,1,0.206783,0.921214,0.234684,0.933156,0.001,2.56
CharBiRNN,42,2,0.166284,0.942263,0.224761,0.943624,0.001,2.6
CharBiRNN,42,3,0.149702,0.943878,0.184737,0.950673,0.001,2.5
CharBiRNN,42,4,0.132619,0.95405,0.185434,0.955048,0.001,2.62
CharBiRNN,42,5,0.122421,0.957738,0.173654,0.956543,0.001,2.66
CharBiRNN,42,6,0.116586,0.96033,0.178289,0.958426,0.001,2.72
CharBiRNN,42,7,0.109849,0.962966,0.16664,0.96025,0.001,2.57
CharBiRNN,42,8,0.105331,0.964686,0.164791,0.961388,0.001,2.65
CharBiRNN,42,9,0.102097,0.964999,0.159529,0.961995,0.001,2.6
CharBiRNN,42,10,0.097879,0.967928,0.174829,0.959744,0.001,2.63
CharBiRNN,42,11,0.097874,0.968478,0.176916,0.959866,0.001,2.55
CharBiRNN,42,12,0.096532,0.965412,0.160046,0.961569,0.001,2.62
CharBiRNN,42,13,0.084266,0.972046,0.162073,0.963085,0.0005,2.61
CharBiRNN,42,14,0.083103,0.973968,0.175275,0.962005,0.0005,2.49
CharBiRNN,42,15,0.081843,0.974182,0.175226,0.961687,0.0005,2.55
CharBiRNN,42,16,0.076064,0.976205,0.168271,0.964067,0.00025,2.57
CharBiRNN,42,17,0.075353,0.976039,0.171044,0.962927,0.00025,2.54
CharBiRNN,42,18,0.075103,0.975815,0.171273,0.961604,0.00025,2.48
CharBiRNN,42,19,0.072963,0.977587,0.176228,0.96238,0.000125,2.73
CharBiRNN,42,20,0.071791,0.977362,0.173969,0.962532,0.000125,2.58
CharBiRNN,42,21,0.070972,0.978099,0.175199,0.962282,0.000125,2.54
CharBiRNN,42,22,0.070187,0.978742,0.176296,0.962018,6.25e-05,2.65
CharBiRNN,7,1,0.21324,0.92092,0.250446,0.930986,0.001,2.54
CharBiRNN,7,2,0.179548,0.937727,0.228613,0.940861,0.001,2.6
CharBiRNN,7,3,0.148518,0.947302,0.1899,0.950244,0.001,2.56
CharBiRNN,7,4,0.143622,0.945567,0.175726,0.951046,0.001,2.64
CharBiRNN,7,5,0.134434,0.948961,0.173228,0.953327,0.001,2.63
CharBiRNN,7,6,0.121287,0.956573,0.165817,0.958642,0.001,2.65
CharBiRNN,7,7,0.112598,0.961225,0.167593,0.959643,0.001,2.58
CharBiRNN,7,8,0.116748,0.956255,0.159734,0.957882,0.001,2.57
CharBiRNN,7,9,0.105852,0.962756,0.162066,0.961044,0.001,2.75
CharBiRNN,7,10,0.102225,0.9657,0.169702,0.959269,0.001,2.76
CharBiRNN,7,11,0.105984,0.960412,0.160278,0.957851,0.001,2.63
CharBiRNN,7,12,0.090801,0.970509,0.16631,0.962522,0.0005,2.7
