row_id,n_tokens,suffix3,gender,suffix,model,level,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17
1,2,ati,female,ati,CharBiRNN,char,0.013549,0.003103,0.010238,0.019911,0.005919,0.01641,0.010662,0.365106,0.011011,0.043694,0.002619,0.008758,0.024445,0.019987,0.013607,0.034528,0.396454
2,2,ati,female,ati,CharBiGRU,char,0.047485,0.027925,0.028997,0.039806,0.048738,0.036282,0.02435,0.139447,0.016512,0.023785,0.014951,0.02457,0.013547,0.02862,0.016906,0.018415,0.449664
3,2,ati,female,ati,CharBiLSTM,char,0.052573,0.069336,0.165755,0.131426,0.189279,0.063521,0.046796,0.031952,0.024174,0.047416,0.018041,0.034419,0.011941,0.012594,0.009694,0.016349,0.074735
4,2,ati,female,ati,CharTransformer,char,0.010529,0.013311,0.012312,0.025588,0.058085,0.082681,0.114879,0.17013,0.003839,0.005298,0.005339,0.014717,0.030926,0.054337,0.079085,0.096938,0.222005
5,2,ati,female,ati,WordBiRNN,word,0.353217,0.646783,,,,,,,,,,,,,,,
6,2,ati,female,ati,WordBiGRU,word,0.200616,0.799384,,,,,,,,,,,,,,,
7,2,ati,female,ati,WordBiLSTM,word,0.432226,0.567774,,,,,,,,,,,,,,,
8,2,ati,female,ati,WordTransformer,word,0.557356,0.442644,,,,,,,,,,,,,,,
9,2,sri,female,ri,CharBiRNN,char,0.019088,0.020422,0.023581,0.650211,0.0252,0.026877,0.050438,0.184184,,,,,,,,,
10,2,sri,female,ri,CharBiGRU,char,0.07143,0.075544,0.053716,0.46868,0.030676,0.039671,0.02852,0.231763,,,,,,,,,
11,2,sri,female,ri,CharBiLSTM,char,0.228178,0.107501,0.110739,0.124271,0.050012,0.074071,0.065111,0.240117,,,,,,,,,
12,2,sri,female,ri,CharTransformer,char,0.160113,0.088158,0.184637,0.245955,0.053149,0.076993,0.063741,0.127253,,,,,,,,,
13,2,sri,female,ri,WordBiRNN,word,0.954824,0.045176,,,,,,,,,,,,,,,
14,2,sri,female,ri,WordBiGRU,word,0.608869,0.391131,,,,,,,,,,,,,,,
15,2,sri,female,ri,WordBiLSTM,word,0.557057,0.442943,,,,,,,,,,,,,,,
16,2,sri,female,ri,WordTransformer,word,0.665815,0.334185,,,,,,,,,,,,,,,
17,2,wan,male,wan,CharBiRNN,char,0.027127,0.008711,0.004637,0.041454,0.010183,0.093721,0.045883,0.035835,0.185746,0.055167,0.012271,0.009521,0.014395,0.035855,0.028133,0.106188,0.285174
18,2,wan,male,wan,CharBiGRU,char,0.024477,0.021747,0.016987,0.026902,0.027285,0.018277,0.021868,0.029829,0.046639,0.053877,0.042639,0.016056,0.020516,0.188776,0.160867,0.147559,0.135698
19,2,wan,male,wan,CharBiLSTM,char,0.01769,0.00595,0.004824,0.00745,0.006355,0.014646,0.019892,0.040653,0.065916,0.169178,0.154516,0.081403,0.085939,0.07148,0.08602,0.063571,0.104518
20,2,wan,male,wan,CharTransformer,char,0.051261,0.037727,0.07022,0.079776,0.04527,0.032663,0.023163,0.060005,0.084598,0.013297,0.03156,0.027899,0.033385,0.04601,0.089493,0.041225,0.232449
21,2,wan,male,wan,WordBiRNN,word,0.578188,0.421812,,,,,,,,,,,,,,,
22,2,wan,male,wan,WordBiGRU,word,0.75534,0.24466,,,,,,,,,,,,,,,
23,2,wan,male,wan,WordBiLSTM,word,0.543574,0.456426,,,,,,,,,,,,,,,
24,2,wan,male,wan,WordTransformer,word,0.400331,0.599669,,,,,,,,,,,,,,,
25,2,din,male,udin,CharBiRNN,char,0.02598,0.089406,0.011989,0.06663,0.057112,0.212429,0.153113,0.061404,0.047403,0.014001,0.011799,0.009806,0.009263,0.067413,0.051152,0.111101,
26,2,din,male,udin,CharBiGRU,char,0.082207,0.052263,0.035218,0.049706,0.05213,0.09404,0.057196,0.088143,0.038631,0.029408,0.020442,0.031631,0.033252,0.106847,0.107404,0.121482,
27,2,din,male,udin,CharBiLSTM,char,0.021427,0.055276,0.016932,0.013814,0.024856,0.036138,0.037677,0.049498,0.098051,0.083175,0.053682,0.083367,0.05409,0.052462,0.138848,0.180707,
28,2,din,male,udin,CharTransformer,char,0.036247,0.078138,0.138871,0.108749,0.097316,0.10618,0.10027,0.143964,0.024975,0.015669,0.011738,0.012998,0.012978,0.024235,0.025404,0.062267,
29,2,din,male,udin,WordBiRNN,word,0.660277,0.339723,,,,,,,,,,,,,,,
30,2,din,male,udin,WordBiGRU,word,0.784622,0.215378,,,,,,,,,,,,,,,
31,2,din,male,udin,WordBiLSTM,word,0.671011,0.328989,,,,,,,,,,,,,,,
32,2,din,male,udin,WordTransformer,word,0.410582,0.589418,,,,,,,,,,,,,,,
