Model,Seed,level,tail4_mass,tail4_uniform,tail4_over_uniform,head4_mass,last_unit_mass,first_unit_mass,centre_of_mass,tail4_with_suffix,tail4_without_suffix
CharBiRNN,42,char,0.27705,0.21437,0.06269,0.20068,0.16291,0.04154,0.52618,0.28401,0.27489
CharBiRNN,7,char,0.28337,0.21437,0.06901,0.18008,0.14089,0.02469,0.53645,0.31959,0.27209
CharBiRNN,123,char,0.29552,0.21437,0.08115,0.21575,0.15039,0.04036,0.5263,0.28841,0.29773
CharBiRNN,2024,char,0.26781,0.21437,0.05344,0.18748,0.13623,0.03638,0.52191,0.29644,0.25888
CharBiRNN,777,char,0.27594,0.21437,0.06157,0.16891,0.13399,0.02131,0.53716,0.31845,0.26269
CharBiLSTM,42,char,0.24493,0.21437,0.03057,0.27846,0.12519,0.08494,0.4791,0.18961,0.26218
CharBiLSTM,7,char,0.26879,0.21437,0.05442,0.21637,0.10783,0.04817,0.52061,0.24113,0.27741
CharBiLSTM,123,char,0.27831,0.21437,0.06394,0.23651,0.15895,0.06958,0.52758,0.23192,0.29277
CharBiLSTM,2024,char,0.31974,0.21437,0.10537,0.29218,0.17512,0.08046,0.5141,0.25317,0.34049
CharBiLSTM,777,char,0.24392,0.21437,0.02955,0.1979,0.12614,0.03987,0.51626,0.22108,0.25104
CharBiGRU,42,char,0.3007,0.21437,0.08634,0.18913,0.14842,0.0349,0.54211,0.30645,0.29891
CharBiGRU,7,char,0.30621,0.21437,0.09185,0.19771,0.16366,0.04178,0.54165,0.32111,0.30157
CharBiGRU,123,char,0.3466,0.21437,0.13223,0.20105,0.17211,0.03186,0.56512,0.31848,0.35536
CharBiGRU,2024,char,0.2909,0.21437,0.07653,0.16382,0.12004,0.03033,0.55086,0.30313,0.28708
CharBiGRU,777,char,0.26597,0.21437,0.0516,0.2331,0.0956,0.0432,0.50243,0.22471,0.27884
CharTransformer,42,char,0.23063,0.21437,0.01627,0.2237,0.15085,0.03833,0.47619,0.27525,0.21673
CharTransformer,7,char,0.18539,0.21437,-0.02898,0.28635,0.05488,0.07903,0.41453,0.21551,0.176
CharTransformer,123,char,0.18641,0.21437,-0.02796,0.26534,0.0873,0.05643,0.4287,0.22376,0.17477
CharTransformer,2024,char,0.17233,0.21437,-0.04204,0.33964,0.03148,0.08731,0.40467,0.20096,0.1634
CharTransformer,777,char,0.20895,0.21437,-0.00541,0.24821,0.08357,0.06061,0.45683,0.2472,0.19703
WordBiRNN,42,word,0.99711,0.99803,-0.00092,0.99854,0.29581,0.47489,0.4112,0.99907,0.9965
WordBiRNN,7,word,0.99674,0.99803,-0.00129,0.99867,0.30323,0.47295,0.41506,0.9994,0.99591
WordBiRNN,123,word,0.99719,0.99803,-0.00084,0.99865,0.29557,0.46834,0.41357,0.99949,0.99647
WordBiRNN,2024,word,0.99741,0.99803,-0.00061,0.99845,0.29162,0.47102,0.40975,0.99946,0.99678
WordBiRNN,777,word,0.99814,0.99803,0.00011,0.99825,0.38604,0.35034,0.51895,0.99943,0.99774
WordBiLSTM,42,word,0.99646,0.99803,-0.00157,0.99911,0.30045,0.45333,0.42183,0.99897,0.99567
WordBiLSTM,7,word,0.9962,0.99803,-0.00183,0.99755,0.3948,0.49346,0.45031,0.99903,0.99532
WordBiLSTM,123,word,0.99687,0.99803,-0.00116,0.99813,0.39149,0.39832,0.49714,0.99923,0.99613
WordBiLSTM,2024,word,0.99648,0.99803,-0.00155,0.99845,0.34387,0.44173,0.45065,0.99881,0.99575
WordBiLSTM,777,word,0.99637,0.99803,-0.00166,0.99926,0.26686,0.48301,0.38887,0.99893,0.99557
WordBiGRU,42,word,0.99673,0.99803,-0.0013,0.99818,0.36476,0.44948,0.45723,0.99917,0.99596
WordBiGRU,7,word,0.9962,0.99803,-0.00183,0.99747,0.41495,0.47297,0.47079,0.99891,0.99535
WordBiGRU,123,word,0.99669,0.99803,-0.00134,0.99837,0.3837,0.41006,0.48697,0.99924,0.99589
WordBiGRU,2024,word,0.99656,0.99803,-0.00147,0.99843,0.30156,0.47826,0.41007,0.99944,0.99566
WordBiGRU,777,word,0.99629,0.99803,-0.00174,0.99892,0.29318,0.46054,0.4148,0.99926,0.99537
WordTransformer,42,word,0.99631,0.99803,-0.00171,0.99918,0.27013,0.49967,0.38365,0.99879,0.99554
WordTransformer,7,word,0.99597,0.99803,-0.00206,0.99896,0.24291,0.54042,0.34924,0.99869,0.99512
WordTransformer,123,word,0.99647,0.99803,-0.00156,0.99896,0.25739,0.4859,0.38292,0.99891,0.9957
WordTransformer,2024,word,0.99673,0.99803,-0.0013,0.99901,0.30032,0.47736,0.41115,0.99878,0.99609
WordTransformer,777,word,0.99699,0.99803,-0.00104,0.99863,0.28926,0.47601,0.40528,0.99907,0.99634
