,CharBiRNN,CharBiLSTM,CharBiGRU,CharTransformer
pos_-12,0.045722,0.045345,0.044128,0.043235
pos_-11,0.050447,0.043492,0.047426,0.050874
pos_-10,0.05459,0.043308,0.048148,0.057505
pos_-9,0.060467,0.043598,0.049194,0.064464
pos_-8,0.045164,0.042144,0.043133,0.047256
pos_-7,0.035315,0.040348,0.040623,0.03689
pos_-6,0.028326,0.037637,0.037352,0.01801
pos_-5,0.038051,0.038079,0.040531,0.017025
pos_-4,0.030506,0.031777,0.049399,0.016588
pos_-3,0.0394,0.036767,0.05538,0.030453
pos_-2,0.044239,0.051198,0.047503,0.032748
pos_-1,0.162909,0.125192,0.148422,0.150846
