Model,position,mean,std,min,max
CharBiGRU,-12,0.04388939540607742,0.0014762605565377851,0.04154958741695375,0.045550423192836954
CharBiGRU,-11,0.04671684569168595,0.0005072592581877336,0.04617683678415866,0.0474263097758439
CharBiGRU,-10,0.047356244697420634,0.0017403262329377669,0.04486992202069737,0.049613449615910334
CharBiGRU,-9,0.04951623850237316,0.0038975095137121617,0.04364359543255841,0.0545641573189306
CharBiGRU,-8,0.04430454982258913,0.005195084905473759,0.03772834899872548,0.05178484105407261
CharBiGRU,-7,0.037905364721709335,0.004593822024153503,0.03177323845608898,0.04390231016101459
CharBiGRU,-6,0.03588282077025352,0.0036592403903796373,0.030946944644088883,0.03990449655562971
CharBiGRU,-5,0.04066562805906569,0.007436195019324567,0.03297326580559382,0.05268278645216653
CharBiGRU,-4,0.04521083560816082,0.004256196091770419,0.03880807628522028,0.04939895237385619
CharBiGRU,-3,0.057307182123472335,0.004759190548758627,0.0500478071391058,0.061654228494948775
CharBiGRU,-2,0.05959196502996158,0.009500677942859435,0.04750301928579017,0.07244241855484196
CharBiGRU,-1,0.13996694375309493,0.03174564454673954,0.09560072359985963,0.17210516000503373
CharBiLSTM,-12,0.04369013535142463,0.0022814269674550354,0.040110205522102906,0.04554206418080724
CharBiLSTM,-11,0.042784060610564535,0.003003417168895428,0.03851999044938123,0.04569952960808699
CharBiLSTM,-10,0.04231558112866422,0.003833535032937359,0.03808416355547867,0.04601299461985635
CharBiLSTM,-9,0.045009488989061146,0.006108537988175662,0.03530897576510194,0.05041317345464367
CharBiLSTM,-8,0.04859606207555542,0.010142616876353027,0.03381461491268399,0.056491304055137206
CharBiLSTM,-7,0.04304217833064618,0.008537709938747912,0.03011651250793834,0.05217939297630808
CharBiLSTM,-6,0.03929413495699955,0.0069353069864376456,0.028355488783983883,0.04636889828035398
CharBiLSTM,-5,0.03918415879448036,0.0058897820235305305,0.029831264745714445,0.045168010635199964
CharBiLSTM,-4,0.03458251013180217,0.005003597154364172,0.03028369505539159,0.04277806850336516
CharBiLSTM,-3,0.04027726485642798,0.007345387804367694,0.03473605978150707,0.0521891310227928
CharBiLSTM,-2,0.05763266869613245,0.009841892608899444,0.04681609926020118,0.06981363381326705
CharBiLSTM,-1,0.1386460704887408,0.027520295970012067,0.10782783613327625,0.17511811412173386
CharBiRNN,-12,0.046935416808715685,0.0016107624891290536,0.04504013600189563,0.04870152544618609
CharBiRNN,-11,0.05144688319029188,0.0021802278735679487,0.0494806067456009,0.05458331557291295
CharBiRNN,-10,0.05416052818233648,0.0014093625917449759,0.05179841425856449,0.055480249813835786
CharBiRNN,-9,0.057681324288881855,0.003183912341547735,0.05395876320954829,0.061475698252061894
CharBiRNN,-8,0.0455706778565055,0.007083169853330462,0.03940584722875064,0.05735589375668912
CharBiRNN,-7,0.034677866718096494,0.004417705882949384,0.029005662046397596,0.04132358798326246
CharBiRNN,-6,0.028061916873410187,0.0027757581017678235,0.025082639311121577,0.032405998674229344
CharBiRNN,-5,0.0397162427836545,0.009284425557243344,0.031624838596514014,0.05375716055238803
CharBiRNN,-4,0.037002682807091535,0.004096562185051918,0.030505893628548053,0.040439763040018735
CharBiRNN,-3,0.047582757219160776,0.0058405884609631755,0.03940005206910347,0.05422136655373856
CharBiRNN,-2,0.05047210380244425,0.0049285065504179465,0.044238903821931984,0.05795686827516762
CharBiRNN,-1,0.14488124508635333,0.0118833122167573,0.1339911080850341,0.1629094129454456
CharTransformer,-12,0.04889942706198871,0.005068949523813338,0.0432347049646819,0.05640402800665892
CharTransformer,-11,0.052180085895415174,0.0018291103516294412,0.05061812660333235,0.05506745132373816
CharTransformer,-10,0.05371731519914498,0.0026012482314155022,0.05021339217774591,0.05750549436154705
CharTransformer,-9,0.05283525701325602,0.008964764576432615,0.04052168710776403,0.06446352181134819
CharTransformer,-8,0.04033730111165742,0.006982700567732611,0.030713680791602836,0.047255899241596934
CharTransformer,-7,0.032563773481526746,0.005202126122503285,0.02669448640320822,0.03752194059099556
CharTransformer,-6,0.02332663189927341,0.004252836086733089,0.01800972798783661,0.02891464121838415
CharTransformer,-5,0.028755085000578127,0.010711551431007497,0.017025112245044088,0.04530141977364903
CharTransformer,-4,0.032290890778422274,0.011556151693583303,0.016587791611729533,0.0477580148448001
CharTransformer,-3,0.03972818742432641,0.008489227363820864,0.030453020294003978,0.049799846553594394
CharTransformer,-2,0.04310887079971616,0.007672222524468741,0.03274812623725243,0.05287902703801941
CharTransformer,-1,0.08161503151236665,0.044881546325430746,0.031477224874567666,0.15084586116709575
