Model,token,mean,std,n_names
WordBiGRU,1,0.45426181280239264,0.027119069599746904,15923
WordBiGRU,2,0.301512784542465,0.041504649416284796,15782
WordBiGRU,3,0.2882343717620858,0.04553138627649544,11972
WordBiGRU,4,0.2040866351195889,0.04603308723792899,2220
WordBiGRU,5,0.17491656236579453,0.05343948308027344,153
WordBiLSTM,1,0.4539690937584627,0.03758346550625497,15923
WordBiLSTM,2,0.3160576340896443,0.04996423132238465,15782
WordBiLSTM,3,0.2740451073943771,0.048712154800429945,11972
WordBiLSTM,4,0.1809265501598264,0.0579527061062379,2220
WordBiLSTM,5,0.15106651778467173,0.07236073042733818,153
WordBiRNN,1,0.44750715313526124,0.05437377630104656,15923
WordBiRNN,2,0.3240855165842511,0.02400541054399822,15782
WordBiRNN,3,0.2688718410266987,0.036992646658678845,11972
WordBiRNN,4,0.1981945993490725,0.029200073681065777,2220
WordBiRNN,5,0.15023906858104258,0.01617849736460163,153
WordTransformer,1,0.49587122377885307,0.02662299764138841,15923
WordTransformer,2,0.30743412451185154,0.01987911506572768,15782
WordTransformer,3,0.23613112497941904,0.026475695053580047,11972
WordTransformer,4,0.14936330930243857,0.0397805311070659,2220
WordTransformer,5,0.10555541536472494,0.019705470473104527,153
