row_id,suffix3,type,category,label,predicted,n_tokens,ending,ending_len,ending_n,ending_female_share,first_token,first_n,first_female_share,unseen_tokens,reason
1,nto,false negative,misleading ending,1,0,2,anto,4,5931,0.0237733940313606,adi,329,0.0091185410334346,0,ending is 98 percent male across 5931 training names
2,nto,false negative,misleading ending,1,0,3,anto,4,5931,0.0237733940313606,daffa,119,0.0504201680672268,1,ending is 98 percent male across 5931 training names
3,nto,false negative,misleading ending,1,0,3,anto,4,5931,0.0237733940313606,ema,13,1.0,0,ending is 98 percent male across 5931 training names
4,nto,false negative,misleading ending,1,0,3,anto,4,5931,0.0237733940313606,fafirru,0,,1,ending is 98 percent male across 5931 training names
5,nto,false negative,misleading ending,1,0,3,anto,4,5931,0.0237733940313606,ferdi,48,0.0,0,ending is 98 percent male across 5931 training names
6,nto,false negative,misleading ending,1,0,3,anto,4,5931,0.0237733940313606,muhammad,6520,0.0023006134969325,0,ending is 98 percent male across 5931 training names
7,nto,false negative,misleading ending,1,0,2,anto,4,5931,0.0237733940313606,neo,0,,0,ending is 98 percent male across 5931 training names
8,nto,false negative,misleading ending,1,0,3,anto,4,5931,0.0237733940313606,raynanda,1,0.0,0,ending is 98 percent male across 5931 training names
9,ana,false negative,first token overrides the ending,1,0,4,ana,3,4990,0.3901803607214429,muhammad,6520,0.0023006134969325,0,"first token muhammad is 100 percent male across 6520 training names, against the ending"
10,wan,false negative,misleading ending,1,0,3,wan,3,4430,0.0483069977426636,eka,540,0.6888888888888889,0,ending is 95 percent male across 4430 training names
11,wan,false negative,misleading ending,1,0,3,awan,4,4117,0.0456643186786495,adin,3,0.0,0,ending is 95 percent male across 4117 training names
12,wan,false negative,misleading ending,1,0,2,awan,4,4117,0.0456643186786495,fhiky,0,,1,ending is 95 percent male across 4117 training names
13,wan,false negative,misleading ending,1,0,3,awan,4,4117,0.0456643186786495,girdana,0,,2,ending is 95 percent male across 4117 training names
14,wan,false negative,misleading ending,1,0,3,awan,4,4117,0.0456643186786495,muh,48,0.0,1,ending is 95 percent male across 4117 training names
15,wan,false negative,misleading ending,1,0,3,awan,4,4117,0.0456643186786495,muhammad,6520,0.0023006134969325,1,ending is 95 percent male across 4117 training names
16,wan,false negative,misleading ending,1,0,3,awan,4,4117,0.0456643186786495,nibras,1,1.0,1,ending is 95 percent male across 4117 training names
17,wan,false negative,misleading ending,1,0,2,awan,4,4117,0.0456643186786495,rafi,105,0.0095238095238095,0,ending is 95 percent male across 4117 training names
18,wan,false negative,misleading ending,1,0,2,awan,4,4117,0.0456643186786495,riandi,8,0.0,0,ending is 95 percent male across 4117 training names
19,wan,false negative,misleading ending,1,0,2,awan,4,4117,0.0456643186786495,zerin,0,,1,ending is 95 percent male across 4117 training names
20,gia,false negative,"ending agrees, cause elsewhere",1,0,3,ia,2,3883,0.7841874839041978,yahya,21,0.0,0,"ending is 78 percent female across 3883 training names, which agrees with the true label, so the error comes from elsewhere"
21,tra,false negative,misleading ending,1,0,3,utra,4,3731,0.0053604931653712,ludya,0,,1,ending is 99 percent male across 3731 training names
22,tra,false negative,misleading ending,1,0,4,utra,4,3731,0.0053604931653712,marcelyno,0,,1,ending is 99 percent male across 3731 training names
23,tra,false negative,misleading ending,1,0,3,utra,4,3731,0.0053604931653712,mohammad,642,0.0031152647975077,0,ending is 99 percent male across 3731 training names
24,tra,false negative,misleading ending,1,0,4,utra,4,3731,0.0053604931653712,muhammad,6520,0.0023006134969325,0,ending is 99 percent male across 3731 training names
25,tra,false negative,misleading ending,1,0,3,utra,4,3731,0.0053604931653712,peldianto,0,,1,ending is 99 percent male across 3731 training names
