row_id,suffix3,label,n_wrong_of_20,n_models_ever_wrong,n_chars,n_tokens,wrong_CharBiRNN,wrong_CharBiGRU,wrong_CharBiLSTM,wrong_CharTransformer,ends_listed_suffix,unseen_tokens,all_tokens_unseen
1,dqi,0,0,0,16,3,0,0,0,0,False,1,False
2,hra,1,0,0,23,4,0,0,0,0,False,0,False
3,aya,0,0,0,14,3,0,0,0,0,False,0,False
4,ris,0,6,4,26,4,2,1,1,2,False,2,False
5,ati,1,0,0,14,3,0,0,0,0,True,0,False
6,yah,1,0,0,24,3,0,0,0,0,True,1,False
7,mad,0,0,0,16,3,0,0,0,0,False,0,False
8,yid,0,0,0,25,3,0,0,0,0,False,0,False
9,ari,0,5,2,25,3,2,0,3,0,False,1,False
10,rim,0,0,0,16,3,0,0,0,0,False,1,False
11,lam,0,0,0,20,3,0,0,0,0,False,1,False
12,aya,0,0,0,26,4,0,0,0,0,False,1,False
13,yah,0,0,0,24,3,0,0,0,0,True,1,False
14,uti,0,0,0,19,2,0,0,0,0,False,1,False
15,fin,0,0,0,12,2,0,0,0,0,False,0,False
16,adi,0,0,0,18,3,0,0,0,0,True,0,False
17,ani,0,0,0,15,3,0,0,0,0,True,0,False
18,lik,0,0,0,12,2,0,0,0,0,False,0,False
19,oro,0,0,0,23,3,0,0,0,0,False,0,False
20,yal,0,0,0,18,3,0,0,0,0,False,0,False
21,fur,0,0,0,12,2,0,0,0,0,False,1,False
22,zki,0,0,0,18,3,0,0,0,0,False,0,False
23,lla,0,0,0,19,3,0,0,0,0,False,0,False
24,mud,0,0,0,21,3,0,0,0,0,False,1,False
25,dan,0,0,0,18,3,0,0,0,0,False,0,False
26, al,0,0,0,30,5,0,0,0,0,False,1,False
27,gka,0,0,0,28,4,0,0,0,0,False,1,False
28,iki,0,0,0,19,3,0,0,0,0,False,0,False
29,hir,1,20,4,18,3,5,5,5,5,False,0,False
30,ant,0,0,0,30,4,0,0,0,0,False,1,False
31,d l,0,0,0,14,3,0,0,0,0,False,1,False
32,nif,0,0,0,20,3,0,0,0,0,False,0,False
33,rda,0,0,0,29,4,0,0,0,0,False,1,False
34,ali,0,0,0,12,2,0,0,0,0,False,0,False
35,rsa,0,0,0,19,3,0,0,0,0,False,0,False
36,han,0,0,0,22,3,0,0,0,0,False,0,False
37,rna,0,0,0,25,4,0,0,0,0,False,0,False
38,uda,1,20,4,21,3,5,5,5,5,False,0,False
39,han,0,0,0,15,2,0,0,0,0,False,0,False
40,ana,0,0,0,22,3,0,0,0,0,False,0,False
41,lqa,0,0,0,30,4,0,0,0,0,False,3,False
42,hur,0,0,0,20,2,0,0,0,0,False,0,False
43,afi,0,0,0,17,2,0,0,0,0,False,0,False
44,ufi,0,0,0,17,2,0,0,0,0,False,1,False
45,hin,0,0,0,21,3,0,0,0,0,False,0,False
46,aki,0,0,0,17,2,0,0,0,0,False,0,False
47,zqy,0,0,0,17,2,0,0,0,0,False,0,False
48,yah,0,0,0,19,2,0,0,0,0,True,0,False
49,yid,0,0,0,11,1,0,0,0,0,False,1,True
50,lon,0,0,0,18,3,0,0,0,0,False,0,False
51,lon,0,0,0,23,3,0,0,0,0,False,0,False
52,aya,0,0,0,17,3,0,0,0,0,False,0,False
53,kur,1,20,4,18,3,5,5,5,5,False,1,False
54,man,0,0,0,11,2,0,0,0,0,True,0,False
55,ila,0,11,4,22,3,4,3,3,1,False,0,False
56,tra,0,0,0,20,3,0,0,0,0,False,0,False
57,ksa,0,1,1,19,2,1,0,0,0,False,1,False
58,nto,0,0,0,25,3,0,0,0,0,True,2,False
59,dro,0,0,0,22,4,0,0,0,0,False,1,False
60,tra,0,0,0,21,4,0,0,0,0,False,0,False
61,han,0,0,0,16,3,0,0,0,0,False,0,False
62,nto,0,0,0,22,3,0,0,0,0,True,1,False
63,tio,0,0,0,19,3,0,0,0,0,False,1,False
64,ata,0,0,0,17,3,0,0,0,0,False,0,False
65,gga,0,0,0,18,3,0,0,0,0,False,0,False
66,man,0,0,0,23,3,0,0,0,0,True,0,False
67,adi,0,0,0,11,2,0,0,0,0,True,0,False
68,yah,0,0,0,20,3,0,0,0,0,True,0,False
69,hmi,0,0,0,23,3,0,0,0,0,False,0,False
70,ais,0,0,0,15,3,0,0,0,0,False,0,False
71,nto,0,0,0,26,3,0,0,0,0,True,1,False
72,key,0,0,0,25,3,0,0,0,0,False,1,False
73,rso,0,0,0,26,4,0,0,0,0,False,1,False
74,par,0,0,0,16,2,0,0,0,0,False,0,False
75,ari,1,0,0,26,3,0,0,0,0,False,0,False
76,ana,0,0,0,26,4,0,0,0,0,False,0,False
77,ran,0,0,0,11,2,0,0,0,0,False,1,False
78,lah,0,0,0,16,3,0,0,0,0,True,0,False
79,man,0,0,0,19,3,0,0,0,0,True,1,False
80,nto,0,0,0,21,3,0,0,0,0,True,0,False
81,tya,0,0,0,20,3,0,0,0,0,False,0,False
82,yad,0,0,0,21,3,0,0,0,0,False,0,False
83,ara,0,3,2,24,2,0,2,0,1,False,1,False
84,dam,0,0,0,17,3,0,0,0,0,False,0,False
85,nto,0,0,0,28,4,0,0,0,0,True,0,False
86,mad,0,0,0,22,3,0,0,0,0,False,0,False
87,ruz,0,0,0,21,4,0,0,0,0,False,0,False
88,stu,0,0,0,20,3,0,0,0,0,False,1,False
89,iqi,0,0,0,12,2,0,0,0,0,False,0,False
90,ali,0,0,0,17,3,0,0,0,0,False,0,False
91,man,0,0,0,20,3,0,0,0,0,True,1,False
92,and,0,1,1,20,3,1,0,0,0,False,2,False
93,ali,0,0,0,22,3,0,0,0,0,False,1,False
94,ham,0,0,0,15,3,0,0,0,0,False,0,False
95,ham,0,0,0,23,4,0,0,0,0,False,0,False
96,din,0,0,0,8,1,0,0,0,0,True,1,True
97,ama,0,0,0,13,2,0,0,0,0,False,0,False
98,ira,0,0,0,13,2,0,0,0,0,False,0,False
99,ati,0,0,0,17,3,0,0,0,0,True,0,False
100,tra,0,0,0,20,3,0,0,0,0,False,1,False
101,jmi,0,0,0,27,5,0,0,0,0,False,0,False
102,din,1,11,4,12,2,3,2,2,4,True,1,False
103,man,0,0,0,20,3,0,0,0,0,True,0,False
104,ath,0,0,0,14,3,0,0,0,0,False,0,False
105,min,1,20,4,11,2,5,5,5,5,False,0,False
106,tra,0,0,0,18,3,0,0,0,0,False,0,False
107,rsy,0,0,0,11,2,0,0,0,0,False,0,False
108,ani,1,20,4,21,3,5,5,5,5,True,0,False
109,lah,0,0,0,19,3,0,0,0,0,True,0,False
110,yad,0,0,0,30,4,0,0,0,0,False,2,False
111,dat,0,0,0,13,2,0,0,0,0,False,1,False
112,dly,0,0,0,23,4,0,0,0,0,False,0,False
113,ana,0,0,0,21,3,0,0,0,0,False,0,False
114,dhi,0,0,0,30,4,0,0,0,0,False,2,False
115,aqi,0,0,0,20,3,0,0,0,0,False,0,False
116,han,1,20,4,22,3,5,5,5,5,False,0,False
117,ara,0,0,0,20,3,0,0,0,0,False,0,False
118,wal,0,0,0,25,4,0,0,0,0,False,0,False
119,ara,0,0,0,19,3,0,0,0,0,False,0,False
120,wan,0,0,0,21,3,0,0,0,0,True,0,False
121,dar,0,0,0,13,2,0,0,0,0,False,0,False
122,hir,0,0,0,20,3,0,0,0,0,False,0,False
123,ika,0,0,0,20,3,0,0,0,0,True,0,False
124,nif,0,0,0,20,3,0,0,0,0,False,0,False
125,han,0,0,0,24,3,0,0,0,0,False,1,False
126,fiq,0,0,0,16,3,0,0,0,0,False,0,False
127,sya,0,0,0,12,2,0,0,0,0,False,0,False
