ending,n_training,pct_female,points_to
nti,3682,99.2,female
nty,339,99.1,female
ewi,677,99.1,female
rum,502,98.6,female
aty,249,98.4,female
nah,617,97.2,female
tri,2740,97.0,female
iwi,730,96.8,female
hra,367,96.5,female
iah,688,96.2,female
uti,701,95.7,female
via,271,95.6,female
ina,1617,95.3,female
ini,1622,95.2,female
sih,1245,95.2,female
fah,438,95.0,female
ati,4267,94.7,female
dah,337,94.7,female
isa,790,92.9,female
lia,1470,91.0,female
uni,260,90.8,female
ida,282,89.0,female
eni,449,88.9,female
ari,5387,87.7,female
ita,1674,87.3,female
rti,370,86.5,female
mah,638,85.6,female
ayu,449,85.3,female
sti,274,84.3,female
ila,691,83.4,female
yas,332,82.5,female
ani,6736,82.1,female
awa,228,19.7,male
ata,554,18.8,male
kti,318,18.6,male
uma,412,18.2,male
dra,689,17.6,male
dha,244,16.8,male
tya,711,15.2,male
ndy,292,14.7,male
asa,213,14.1,male
gga,225,12.9,male
ali,259,12.7,male
ndi,1098,12.6,male
yan,384,12.5,male
oni,281,12.5,male
ito,290,11.4,male
stu,240,11.2,male
dar,396,11.1,male
ian,1643,10.9,male
san,372,10.5,male
aus,327,10.4,male
man,2403,10.4,male
lim,224,10.3,male
rdi,392,9.9,male
him,273,9.9,male
yat,640,8.9,male
dan,234,8.1,male
kim,309,7.8,male
han,1503,6.9,male
adi,2574,6.4,male
mad,470,6.4,male
rto,474,6.1,male
ama,2234,6.1,male
odo,258,5.8,male
oso,586,5.6,male
udi,571,5.6,male
kas,272,5.5,male
aji,396,5.1,male
zal,325,4.9,male
wan,4430,4.8,male
ono,2428,4.6,male
aha,725,4.4,male
ldi,377,4.2,male
din,1404,4.2,male
owo,1258,4.1,male
bar,520,4.0,male
uzi,292,3.8,male
ndo,295,3.7,male
oro,1017,3.0,male
omo,810,3.0,male
oko,367,2.7,male
ano,258,2.7,male
nto,5969,2.4,male
oho,921,2.3,male
tyo,815,2.2,male
loh,214,1.9,male
tra,3895,1.5,male
tro,520,1.0,male
