row_id,n_tokens,suffix3,FREQ,FREQ_split,records_removed,LAST_YEAR,LAST_YEAR_split
1,1,bas,2,1,1,2025,2022
2,1,lah,2,1,1,2024,2021
3,2,zis,15,14,1,2025,2022
4,2,ziz,25,24,1,2025,2022
5,2,adi,5,4,1,2025,2019
6,2,ief,6,5,1,2024,2018
7,2,tif,6,5,1,2024,2019
8,2,man,9,8,1,2025,2020
9,2,lah,2,1,1,2024,1999
10,2,jar,2,1,1,2024,2007
11,2,zan,5,4,1,2024,2017
12,2,aki,3,2,1,2024,2009
13,1,dam,2,1,1,2024,2014
14,2,ana,5,4,1,2024,2016
15,2,aha,3,2,1,2025,2013
16,2,yah,2,1,1,2024,2021
17,3,ani,2,1,1,2024,2019
18,3,ani,2,1,1,2025,2022
19,2,nto,5,4,1,2025,2016
20,2,wan,14,13,1,2025,2014
21,2,oho,11,10,1,2024,2022
22,3,ama,2,1,1,2024,2011
23,2,yah,2,1,1,2024,2022
24,3,aji,2,1,1,2024,2021
25,1,tya,11,10,1,2024,2016
26,3,ana,2,1,1,2024,2001
27,2,wan,4,3,1,2024,2011
28,2,ian,2,1,1,2025,2016
29,2,tra,8,6,2,2024,2021
30,3,oho,2,1,1,2024,2001
31,2,sna,2,1,1,2024,2018
32,2,ana,4,2,2,2025,2022
33,2,hra,2,1,1,2024,2022
34,2,fik,2,1,1,2024,2021
35,4,aya,2,1,1,2024,2023
36,2,yat,2,1,1,2025,2018
37,2,aha,7,6,1,2025,2017
38,2,oho,26,25,1,2024,2016
39,2,nto,2,1,1,2024,2019
40,1,ina,5,4,1,2024,2016
41,2,ari,3,2,1,2025,2011
42,2,aiz,4,3,1,2024,2015
43,2,qih,3,2,1,2024,2017
44,2,oni,5,4,1,2025,2009
45,3,tra,2,1,1,2024,2019
46,2,aus,9,8,1,2025,2011
47,2,yah,5,4,1,2025,2005
48,2,fan,3,2,1,2024,2006
49,2,wan,6,5,1,2024,2020
50,2,tfi,9,8,1,2025,2013
51,3,zan,2,1,1,2025,2022
52,2,zal,6,5,1,2024,2009
53,2,suf,3,2,1,2025,2016
54,2,aki,2,1,1,2025,1997
55,2,kri,2,1,1,2024,2009
56,3,ani,2,1,1,2025,2021
57,1,yah,9,7,2,2025,2022
58,3,zki,2,1,1,2024,2021
59,2,han,4,3,1,2025,2014
60,3,han,2,1,1,2025,2018
61,2,zan,4,3,1,2024,2021
62,2,udi,2,1,1,2025,2022
63,2,ana,4,2,2,2025,2013
64,2,tyo,4,3,1,2024,2017
65,2,yah,2,1,1,2024,2023
66,2,nto,2,1,1,2025,2023
67,2,ila,2,1,1,2024,2020
68,3,jri,2,1,1,2024,2023
69,2,ini,2,1,1,2025,2023
70,2,nah,2,1,1,2024,2022
71,1,yah,4,3,1,2024,2018
72,2,let,2,1,1,2024,2019
73,2,iza,3,2,1,2024,2020
74,2,ila,4,2,2,2024,2023
75,2,tri,2,1,1,2024,2002
76,2,nti,2,1,1,2025,2012
77,1,lia,15,14,1,2024,2022
78,2,tin,3,2,1,2025,2022
79,3,ari,2,1,1,2025,2018
80,2,tri,4,2,2,2025,2023
81,3,ari,2,1,1,2024,2020
82,1,mar,3,2,1,2024,2016
83,4,mto,2,1,1,2024,2021
84,2,isa,2,1,1,2025,2018
85,2,han,2,1,1,2024,2012
86,2,ana,2,1,1,2024,2014
87,2,aha,2,1,1,2025,2009
88,2,tyo,2,1,1,2025,2013
89,3,ama,2,1,1,2024,2022
90,3,nti,2,1,1,2024,2021
91,3,tra,2,1,1,2025,2013
92,2,ama,9,8,1,2025,2021
93,2,wan,3,2,1,2024,2012
94,3,ama,2,1,1,2024,2019
95,2,ana,2,1,1,2024,2020
96,3,pea,2,1,1,2024,2018
97,2,aya,2,1,1,2024,2022
98,3,tra,2,1,1,2025,2018
99,2,ana,2,1,1,2025,2022
100,3,rni,2,1,1,2024,2021
101,2,ita,2,1,1,2024,2021
102,2,tri,2,1,1,2024,2015
103,1,yah,3,2,1,2024,2011
104,3,aya,2,1,1,2024,2019
105,5,rat,2,1,1,2025,2022
106,2,yah,2,1,1,2024,2008
107,2,yah,2,1,1,2025,2009
108,1,yah,51,50,1,2025,2023
109,2,wan,5,4,1,2024,2014
110,2,ari,2,1,1,2025,2019
111,2,ono,6,5,1,2024,2018
112,2,yah,2,1,1,2024,2009
113,2,wan,2,1,1,2024,2009
114,3,kim,11,9,2,2025,2015
115,3,ndi,2,1,1,2024,2021
116,2,nto,2,1,1,2025,2002
117,3,aus,2,1,1,2025,2021
118,2,adi,2,1,1,2025,2022
119,3,ama,3,2,1,2025,2021
120,4,iar,2,1,1,2024,2021
121,2,ila,2,1,1,2025,2010
122,2,man,12,11,1,2025,2018
