Model,trial,cpu_ms
CharBiRNN,0,0.5270499968901277
CharBiLSTM,0,0.39850000757724047
CharBiGRU,0,1.3476000167429447
WordBiRNN,0,0.18855000962503254
WordBiLSTM,0,0.25049998657777905
WordBiGRU,0,0.34045003121718764
CharTransformer,0,1.1456499923951924
WordTransformer,0,0.770700047723949
CharBiRNN,1,0.5227500223554671
CharBiLSTM,1,0.3945999778807163
CharBiGRU,1,1.3415999710559845
WordBiRNN,1,0.18535001436248422
WordBiLSTM,1,0.2514999941922724
WordBiGRU,1,0.3386999887879938
CharTransformer,1,1.1475500068627298
WordTransformer,1,0.7701500144321471
CharBiRNN,2,0.5203000036999583
CharBiLSTM,2,0.3899000003002584
CharBiGRU,2,1.3317999837454408
WordBiRNN,2,0.18530001398175955
WordBiLSTM,2,0.2508500183466822
WordBiGRU,2,0.3383999865036458
CharTransformer,2,1.1400500079616904
WordTransformer,2,0.7726000039838254
CharBiRNN,3,0.5238000303506851
CharBiLSTM,3,0.39299996569752693
CharBiGRU,3,1.3601999962702394
WordBiRNN,3,0.18539998563937843
WordBiLSTM,3,0.2517500251997262
WordBiGRU,3,0.33799998345784843
CharTransformer,3,1.1442000104580075
WordTransformer,3,0.7645000005140901
CharBiRNN,4,0.5298000178299844
CharBiLSTM,4,0.401299970690161
CharBiGRU,4,1.35345000308007
WordBiRNN,4,0.18779997481033206
WordBiLSTM,4,0.25400001322850585
WordBiGRU,4,0.33884996082633734
CharTransformer,4,1.1753499857150018
WordTransformer,4,0.7674500229768455
CharBiRNN,5,0.5208500078879297
CharBiLSTM,5,0.4039999912492931
CharBiGRU,5,1.3424999779090285
WordBiRNN,5,0.1876500027719885
WordBiLSTM,5,0.26380002964287996
WordBiGRU,5,0.3425999893806875
CharTransformer,5,1.1838999926112592
WordTransformer,5,0.7799500017426908
CharBiRNN,6,0.5323499790392816
CharBiLSTM,6,0.39515001117251813
CharBiGRU,6,1.343349984381348
WordBiRNN,6,0.18370000179857016
WordBiLSTM,6,0.2550000208429992
WordBiGRU,6,0.3421999863348901
CharTransformer,6,1.1424499680288136
WordTransformer,6,0.7607000297866762
IndoBERT,0,58.136550011113286
IndoBERT,1,58.21920000016689
IndoBERT,2,58.07485000696033
IndoBERT,3,59.07560000196099
IndoBERT,4,58.212799980537966
IndoBERT,5,58.120999980019405
IndoBERT,6,58.10875000315718
mBERT,0,60.632600012468174
mBERT,1,59.64695001603104
mBERT,2,59.84894998255186
mBERT,3,59.82935000793077
mBERT,4,59.87440000171773
mBERT,5,60.01614997512661
mBERT,6,59.709599998313934
XLM-R,0,59.11119998199865
XLM-R,1,59.33774998993613
XLM-R,2,59.5305000024382
XLM-R,3,59.46170000243001
XLM-R,4,59.09849997260608
XLM-R,5,59.149950015125796
XLM-R,6,60.71649998193607
