Model,mid,lo,hi,iqr,spread_pct,level
CharBiGRU,1.3433,1.3318,1.3602,0.0085,2.1,character
CharBiLSTM,0.3952,0.3899,0.404,0.0061,3.6,character
CharBiRNN,0.5238,0.5203,0.5323,0.0066,2.3,character
CharTransformer,1.1456,1.1401,1.1839,0.0181,3.8,character
IndoBERT,58.1366,58.0749,59.0756,0.1011,1.7,pretrained
WordBiGRU,0.3388,0.338,0.3426,0.0028,1.4,word
WordBiLSTM,0.2518,0.2505,0.2638,0.0033,5.3,word
WordBiRNN,0.1854,0.1837,0.1886,0.0024,2.6,word
WordTransformer,0.7702,0.7607,0.78,0.0057,2.5,word
XLM-R,59.3377,59.0985,60.7165,0.3655,2.7,pretrained
mBERT,59.8489,59.647,60.6326,0.1758,1.6,pretrained
