view,subset,level,Model,n,f1_mean,f1_raw,f1_sd
as published,full,character,CharBiRNN,1960,0.9395,0.9395499926059531,0.0048
as published,full,character,CharBiGRU,1960,0.9449,0.9448987780104556,0.0017
as published,full,character,CharBiLSTM,1960,0.9476,0.9475884002521979,0.0025
as published,full,character,CharTransformer,1960,0.9474,0.9474145312022324,0.0017
as published,full,word,WordBiRNN,1960,0.8532,0.8532299724813577,0.0026
as published,full,word,WordBiGRU,1960,0.8525,0.8525210725279937,0.0023
as published,full,word,WordBiLSTM,1960,0.8529,0.8529338959981173,0.0018
as published,full,word,WordTransformer,1960,0.8554,0.8553544321118464,0.002
as published,clean,character,CharBiRNN,1551,0.9306,0.9306056575890421,0.0056
as published,clean,character,CharBiGRU,1551,0.9366,0.9366223317936141,0.0031
as published,clean,character,CharBiLSTM,1551,0.9398,0.9398274382514732,0.0026
as published,clean,character,CharTransformer,1551,0.9384,0.9383508916480283,0.0024
as published,clean,word,WordBiRNN,1551,0.8346,0.8346044114829498,0.0024
as published,clean,word,WordBiGRU,1551,0.8335,0.8335230542747525,0.0028
as published,clean,word,WordBiLSTM,1551,0.8331,0.8331023262580179,0.0023
as published,clean,word,WordTransformer,1551,0.8358,0.8357773469552571,0.0024
deduplicated,full,character,CharBiRNN,1795,0.9376,0.9376415593438354,0.0034
deduplicated,full,character,CharBiGRU,1795,0.9422,0.9422164880234692,0.0025
deduplicated,full,character,CharBiLSTM,1795,0.9442,0.9441701651393466,0.0025
deduplicated,full,character,CharTransformer,1795,0.9447,0.944741084657187,0.0013
deduplicated,full,word,WordBiRNN,1795,0.8524,0.8523530215892036,0.0021
deduplicated,full,word,WordBiGRU,1795,0.8518,0.8518342738778781,0.0018
deduplicated,full,word,WordBiLSTM,1795,0.8512,0.8511872320929484,0.0018
deduplicated,full,word,WordTransformer,1795,0.8542,0.8541601044016393,0.0018
deduplicated,clean,character,CharBiRNN,1464,0.9297,0.929651094593422,0.0045
deduplicated,clean,character,CharBiGRU,1464,0.9345,0.9345343698949564,0.0031
deduplicated,clean,character,CharBiLSTM,1464,0.9375,0.9374820313814297,0.0024
deduplicated,clean,character,CharTransformer,1464,0.9368,0.9368196394015793,0.002
deduplicated,clean,word,WordBiRNN,1464,0.8365,0.8364586846095078,0.0024
deduplicated,clean,word,WordBiGRU,1464,0.8357,0.8357222319632083,0.003
deduplicated,clean,word,WordBiLSTM,1464,0.8347,0.834739060148381,0.0024
deduplicated,clean,word,WordTransformer,1464,0.838,0.8379737651279404,0.0022
unambiguous,full,character,CharBiRNN,1794,0.9382,0.9382277384301017,0.0034
unambiguous,full,character,CharBiGRU,1794,0.9428,0.9428047866975572,0.0025
unambiguous,full,character,CharBiLSTM,1794,0.9448,0.9447615503334805,0.0025
unambiguous,full,character,CharTransformer,1794,0.9453,0.9453306709429553,0.0013
unambiguous,full,word,WordBiRNN,1794,0.8528,0.8528329002245576,0.0021
unambiguous,full,word,WordBiGRU,1794,0.8523,0.8523140726481726,0.0018
unambiguous,full,word,WordBiLSTM,1794,0.8517,0.8516669370944623,0.0018
unambiguous,full,word,WordTransformer,1794,0.8546,0.85463949368197,0.0018
unambiguous,clean,character,CharBiRNN,1464,0.9297,0.929651094593422,0.0045
unambiguous,clean,character,CharBiGRU,1464,0.9345,0.9345343698949564,0.0031
unambiguous,clean,character,CharBiLSTM,1464,0.9375,0.9374820313814297,0.0024
unambiguous,clean,character,CharTransformer,1464,0.9368,0.9368196394015793,0.002
unambiguous,clean,word,WordBiRNN,1464,0.8365,0.8364586846095078,0.0024
unambiguous,clean,word,WordBiGRU,1464,0.8357,0.8357222319632083,0.003
unambiguous,clean,word,WordBiLSTM,1464,0.8347,0.834739060148381,0.0024
unambiguous,clean,word,WordTransformer,1464,0.838,0.8379737651279404,0.0022
