Model,Seed,auc,brier
CharBiRNN,42,0.9828006904468304,0.0355132144613856
CharBiRNN,7,0.9820984552688233,0.035143480883589144
CharBiRNN,123,0.982315119415803,0.036073069916805
CharBiRNN,2024,0.9827990492311063,0.033879883044903344
CharBiRNN,777,0.9828735509564342,0.0352913203886777
CharBiGRU,42,0.983632352843706,0.03309523958768133
CharBiGRU,7,0.9832759407558999,0.03352300720329159
CharBiGRU,123,0.9821216374409281,0.03557103751745821
CharBiGRU,2024,0.983351894325907,0.0343187948341891
CharBiGRU,777,0.9828353137862437,0.03411697535245437
CharBiLSTM,42,0.9835204818988108,0.03362269493950191
CharBiLSTM,7,0.9830610756338486,0.03480091284668844
CharBiLSTM,123,0.9822386450754216,0.03436196870013314
CharBiLSTM,2024,0.9823114030090427,0.0360646572953343
CharBiLSTM,777,0.9834400228760222,0.0340474409145607
CharTransformer,42,0.982566075502867,0.03758001002580494
CharTransformer,7,0.9823289829543966,0.03811182844898041
CharTransformer,123,0.9823952470392626,0.037856005953296294
CharTransformer,2024,0.9823936294949192,0.037517038648824524
CharTransformer,777,0.9817524033552761,0.03995827660918131
WordBiRNN,42,0.9763215495096396,0.05266172362165441
WordBiRNN,7,0.975870081047651,0.054843767190722606
WordBiRNN,123,0.9762184448660406,0.05097797949261948
WordBiRNN,2024,0.9763684819669846,0.05114751306465565
WordBiRNN,777,0.976826862472119,0.05078682551884469
WordBiGRU,42,0.976253604756748,0.05154464751298612
WordBiGRU,7,0.9754338806261743,0.05351158009703253
WordBiGRU,123,0.9759859287844934,0.05190109265597312
WordBiGRU,2024,0.974690015380085,0.054067981286558
WordBiGRU,777,0.9756878903213405,0.05313404986323268
WordBiLSTM,42,0.9768989339357015,0.05103867687744916
WordBiLSTM,7,0.9753060078279677,0.0532624104952347
WordBiLSTM,123,0.9770457359479583,0.0499498283039019
WordBiLSTM,2024,0.9762658507509984,0.05195600747766432
WordBiLSTM,777,0.9770303179887029,0.05055365155795113
WordTransformer,42,0.9780350813017239,0.04937694452923771
WordTransformer,7,0.9762834780391134,0.05206070737958431
WordTransformer,123,0.9765862428879337,0.05078389669325403
WordTransformer,2024,0.9762774812893515,0.05273047297031565
WordTransformer,777,0.9770031037914293,0.04914847795344055
