level,better,worse,f1_better,f1_worse,diff_pp,ci95_lo_pp,ci95_hi_pp,cohens_dz,p_raw,p_holm,separates,params_better,params_worse
character,CharBiGRU,CharBiLSTM,0.9593,0.9589,0.041,-0.102,0.185,0.36,0.4676596018804224,0.4677,False,86065,114097
character,CharBiGRU,CharBiRNN,0.9593,0.9574,0.196,-0.036,0.427,1.05,0.07916233727874339,0.3166,False,86065,30001
character,CharBiGRU,CharTransformer,0.9593,0.9553,0.398,0.149,0.647,1.98,0.011363717591802734,0.0682,False,86065,605953
character,CharBiLSTM,CharBiRNN,0.9589,0.9574,0.154,-0.057,0.366,0.91,0.1128437044250808,0.3166,False,114097,30001
character,CharBiLSTM,CharTransformer,0.9589,0.9553,0.357,0.09,0.624,1.66,0.020720256012329304,0.1036,False,114097,605953
character,CharBiRNN,CharTransformer,0.9574,0.9553,0.203,-0.05,0.455,0.99,0.0901371758161494,0.3166,False,30001,605953
word,WordTransformer,WordBiLSTM,0.9365,0.9344,0.211,-0.054,0.476,0.99,0.09131197067404176,0.4566,False,6126721,2544289
word,WordTransformer,WordBiGRU,0.9365,0.9335,0.301,0.161,0.441,2.67,0.003970455050017067,0.0238,True,6126721,2507041
word,WordTransformer,WordBiRNN,0.9365,0.9323,0.413,-0.129,0.956,0.95,0.1019086133854443,0.4566,False,6126721,2432545
word,WordBiLSTM,WordBiGRU,0.9344,0.9335,0.09,-0.094,0.273,0.61,0.24553880860211771,0.4911,False,2544289,2507041
word,WordBiLSTM,WordBiRNN,0.9344,0.9323,0.202,-0.126,0.53,0.77,0.16191688582934488,0.4858,False,2544289,2432545
word,WordBiGRU,WordBiRNN,0.9335,0.9323,0.113,-0.382,0.607,0.28,0.5621069180168032,0.5621,False,2507041,2432545
