Strategy,Model,Seed,Accuracy,Precision,Recall,F1,Best_epoch,Train_s,F1_weighted,diff_pp
unweighted,CharBiRNN,42,0.957797,0.976628,0.939469,0.957688,13,65.8,0.956386,0.13020000000000254
unweighted,CharBiRNN,7,0.956164,0.970727,0.942187,0.956244,13,65.5,0.957671,-0.1427000000000067
unweighted,CharBiRNN,123,0.955222,0.973813,0.937122,0.955115,17,73.6,0.95656,-0.14449999999999186
unweighted,CharBiRNN,2024,0.959681,0.970577,0.949475,0.95991,16,65.8,0.958981,0.09290000000000687
unweighted,CharBiRNN,777,0.956855,0.969455,0.944904,0.957022,13,57.0,0.957278,-0.025599999999992296
unweighted,CharBiLSTM,42,0.959179,0.969242,0.949846,0.959446,10,48.7,0.959525,-0.007899999999994023
unweighted,CharBiLSTM,7,0.959618,0.976471,0.943298,0.959598,13,57.8,0.958576,0.10219999999999674
unweighted,CharBiLSTM,123,0.960372,0.974206,0.947128,0.960476,7,40.0,0.959299,0.11769999999999836
unweighted,CharBiLSTM,2024,0.960874,0.97041,0.952069,0.961152,13,57.8,0.957881,0.3271000000000024
unweighted,CharBiLSTM,777,0.95899,0.975345,0.943175,0.95899,17,71.3,0.959309,-0.03189999999999582
unweighted,CharBiGRU,42,0.959116,0.975716,0.943051,0.959105,13,60.4,0.960913,-0.18080000000000318
unweighted,CharBiGRU,7,0.960058,0.97179,0.948981,0.96025,13,59.3,0.96012,0.01300000000000745
unweighted,CharBiGRU,123,0.958425,0.968959,0.94861,0.958677,7,41.2,0.958008,0.06690000000000307
unweighted,CharBiGRU,2024,0.958802,0.970525,0.947746,0.959,11,52.6,0.958323,0.06769999999999277
unweighted,CharBiGRU,777,0.958425,0.971697,0.945769,0.958558,6,36.8,0.959293,-0.07349999999999302
unweighted,CharTransformer,42,0.954594,0.9647,0.945275,0.954889,28,506.8,0.956787,-0.18980000000000663
unweighted,CharTransformer,7,0.955096,0.966852,0.94404,0.95531,26,489.8,0.955922,-0.061200000000005694
unweighted,CharTransformer,123,0.957357,0.967356,0.948116,0.957639,40,733.7,0.95547,0.21689999999999765
unweighted,CharTransformer,2024,0.955096,0.969346,0.941445,0.955192,31,594.2,0.956386,-0.11939999999999173
unweighted,CharTransformer,777,0.95428,0.964678,0.944657,0.954562,29,559.3,0.952185,0.23770000000000735
unweighted,WordBiRNN,42,0.931232,0.944727,0.918468,0.931412,8,44.2,0.929711,0.17010000000000636
unweighted,WordBiRNN,7,0.930038,0.935822,0.92588,0.930825,13,57.9,0.927629,0.31959999999999766
unweighted,WordBiRNN,123,0.932488,0.937984,0.928598,0.933267,9,46.6,0.935135,-0.18680000000000918
unweighted,WordBiRNN,2024,0.930541,0.938292,0.924151,0.931168,16,67.1,0.934499,-0.3330999999999973
unweighted,WordBiRNN,777,0.929724,0.945922,0.914021,0.929698,10,50.5,0.934668,-0.497000000000003
unweighted,WordBiLSTM,42,0.931043,0.948468,0.914021,0.930926,6,38.0,0.934025,-0.3098999999999963
unweighted,WordBiLSTM,7,0.930352,0.94204,0.91958,0.930675,6,38.1,0.932978,-0.2302999999999944
unweighted,WordBiLSTM,123,0.933492,0.940521,0.927857,0.934146,7,41.9,0.936065,-0.1919000000000004
unweighted,WordBiLSTM,2024,0.930729,0.943317,0.918962,0.930981,13,59.2,0.934001,-0.30200000000000227
unweighted,WordBiLSTM,777,0.931546,0.945894,0.917851,0.931661,7,41.6,0.934685,-0.30240000000000267
