Strategy,Model,Seed,Accuracy,Precision,Recall,F1,Ext_Accuracy,Ext_F1,Dev_F1,Best_epoch,Train_s
weighted,CharTransformer,42,0.955976,0.965852,0.946881,0.956272,0.952551,0.946582,0.961135,26,482.4
weighted,CharTransformer,7,0.955536,0.959219,0.953057,0.956128,0.954082,0.948864,0.964579,36,623.9
weighted,CharTransformer,123,0.955787,0.962458,0.950093,0.956235,0.951531,0.945683,0.963545,36,626.3
weighted,CharTransformer,2024,0.954908,0.95837,0.952687,0.95552,0.952551,0.947009,0.963044,27,492.3
weighted,CharTransformer,777,0.953024,0.959705,0.947375,0.9535,0.957143,0.952055,0.960409,32,566.0
weighted,WordTransformer,42,0.9377,0.940797,0.93638,0.938583,0.855102,0.85406,0.939266,7,72.9
weighted,WordTransformer,7,0.935251,0.936049,0.936628,0.936338,0.857143,0.855819,0.94027,11,94.9
weighted,WordTransformer,123,0.933304,0.926604,0.943545,0.934998,0.854592,0.854962,0.938815,7,73.8
weighted,WordTransformer,2024,0.934686,0.93858,0.932551,0.935556,0.857143,0.856263,0.939646,11,96.2
weighted,WordTransformer,777,0.935565,0.936196,0.937122,0.936659,0.859184,0.858462,0.938361,7,72.5
unweighted,CharTransformer,42,0.954594,0.9647,0.945275,0.954889,0.953571,0.947671,0.961353,28,506.8
unweighted,CharTransformer,7,0.955096,0.966852,0.94404,0.95531,0.947959,0.94104,0.96242,26,489.8
unweighted,CharTransformer,123,0.957357,0.967356,0.948116,0.957639,0.95051,0.944285,0.962859,40,733.7
unweighted,CharTransformer,2024,0.955096,0.969346,0.941445,0.955192,0.952041,0.945539,0.96169,31,594.2
unweighted,CharTransformer,777,0.95428,0.964678,0.944657,0.954562,0.94949,0.942939,0.961287,29,559.3
unweighted,WordTransformer,42,0.926584,0.969241,0.883632,0.924459,0.845918,0.802614,0.935761,15,114.3
unweighted,WordTransformer,7,0.925768,0.965522,0.885608,0.92384,0.846939,0.804433,0.936882,14,108.2
unweighted,WordTransformer,123,0.930227,0.936282,0.925757,0.93099,0.85102,0.848861,0.935158,5,59.7
unweighted,WordTransformer,2024,0.925642,0.962522,0.888326,0.923937,0.846939,0.805699,0.936569,9,81.9
unweighted,WordTransformer,777,0.925265,0.968009,0.882149,0.923087,0.85102,0.809648,0.934322,6,65.6
oversampling,CharTransformer,42,0.951579,0.960513,0.943545,0.951954,0.952551,0.947069,0.960127,13,348.6
oversampling,CharTransformer,7,0.955536,0.959105,0.953181,0.956134,0.95102,0.945392,0.962082,22,532.4
oversampling,CharTransformer,123,0.955034,0.962517,0.948487,0.95545,0.954592,0.948939,0.961907,19,458.7
oversampling,CharTransformer,2024,0.954217,0.96026,0.949228,0.954712,0.954082,0.948335,0.963112,22,514.5
oversampling,CharTransformer,777,0.954657,0.964119,0.946016,0.954982,0.954592,0.949056,0.961632,24,548.0
oversampling,WordTransformer,42,0.937449,0.939893,0.936875,0.938382,0.858163,0.857143,0.939848,10,114.8
oversampling,WordTransformer,7,0.93456,0.940427,0.930204,0.935288,0.856122,0.854489,0.938996,8,97.5
oversampling,WordTransformer,123,0.933681,0.936175,0.933169,0.93467,0.851531,0.850539,0.937587,15,145.7
oversampling,WordTransformer,2024,0.932927,0.936405,0.931316,0.933854,0.858673,0.857437,0.938245,16,150.3
oversampling,WordTransformer,777,0.933932,0.942011,0.927116,0.934504,0.856633,0.855229,0.939013,12,126.8
balanced,CharTransformer,42,0.954782,0.961341,0.949228,0.955246,0.956122,0.950688,0.96248,47,757.0
balanced,CharTransformer,7,0.954092,0.957164,0.952316,0.954734,0.953571,0.948148,0.961531,27,498.6
balanced,CharTransformer,123,0.955285,0.963116,0.948363,0.955683,0.955612,0.950314,0.96096,27,491.4
balanced,CharTransformer,2024,0.954531,0.960745,0.949351,0.955014,0.951531,0.945559,0.961194,27,490.1
balanced,CharTransformer,777,0.95541,0.961159,0.95071,0.955906,0.952551,0.946766,0.961581,30,536.3
balanced,WordTransformer,42,0.936507,0.938692,0.936257,0.937473,0.853571,0.852442,0.938923,17,125.5
balanced,WordTransformer,7,0.933367,0.94128,0.926745,0.933956,0.85051,0.849047,0.938751,8,76.8
balanced,WordTransformer,123,0.933932,0.938816,0.930698,0.934739,0.853061,0.852156,0.939054,15,115.0
balanced,WordTransformer,2024,0.932425,0.930772,0.936751,0.933752,0.858673,0.85773,0.938209,8,73.3
balanced,WordTransformer,777,0.934183,0.938301,0.93181,0.935044,0.858163,0.857143,0.938494,9,81.5
