Model,Seed,Year,N,F1
CharBiRNN,42,2024,8540,0.95118
CharBiRNN,42,2025,7383,0.962538
CharBiRNN,7,2024,8540,0.953159
CharBiRNN,7,2025,7383,0.963003
CharBiRNN,123,2024,8540,0.952084
CharBiRNN,123,2025,7383,0.961859
CharBiRNN,2024,2024,8540,0.9551
CharBiRNN,2024,2025,7383,0.963579
CharBiRNN,777,2024,8540,0.9538
CharBiRNN,777,2025,7383,0.961387
CharBiLSTM,42,2024,8540,0.95521
CharBiLSTM,42,2025,7383,0.964642
CharBiLSTM,7,2024,8540,0.954473
CharBiLSTM,7,2025,7383,0.963434
CharBiLSTM,123,2024,8540,0.954493
CharBiLSTM,123,2025,7383,0.964989
CharBiLSTM,2024,2024,8540,0.953483
CharBiLSTM,2024,2025,7383,0.963095
CharBiLSTM,777,2024,8540,0.954629
CharBiLSTM,777,2025,7383,0.964853
CharBiGRU,42,2024,8540,0.956082
CharBiGRU,42,2025,7383,0.966635
CharBiGRU,7,2024,8540,0.955407
CharBiGRU,7,2025,7383,0.965696
CharBiGRU,123,2024,8540,0.954006
CharBiGRU,123,2025,7383,0.962731
CharBiGRU,2024,2024,8540,0.953293
CharBiGRU,2024,2025,7383,0.964291
CharBiGRU,777,2024,8540,0.954843
CharBiGRU,777,2025,7383,0.964552
CharTransformer,42,2024,8540,0.953924
CharTransformer,42,2025,7383,0.960174
CharTransformer,7,2024,8540,0.952206
CharTransformer,7,2025,7383,0.960326
CharTransformer,123,2024,8540,0.950604
CharTransformer,123,2025,7383,0.961219
CharTransformer,2024,2024,8540,0.953454
CharTransformer,2024,2025,7383,0.959858
CharTransformer,777,2024,8540,0.949483
CharTransformer,777,2025,7383,0.955386
WordBiRNN,42,2024,8540,0.927697
WordBiRNN,42,2025,7383,0.932095
WordBiRNN,7,2024,8540,0.924111
WordBiRNN,7,2025,7383,0.931796
WordBiRNN,123,2024,8540,0.933075
WordBiRNN,123,2025,7383,0.937576
WordBiRNN,2024,2024,8540,0.932515
WordBiRNN,2024,2025,7383,0.936845
WordBiRNN,777,2024,8540,0.933698
WordBiRNN,777,2025,7383,0.935819
WordBiLSTM,42,2024,8540,0.933546
WordBiLSTM,42,2025,7383,0.934592
WordBiLSTM,7,2024,8540,0.932008
WordBiLSTM,7,2025,7383,0.934127
WordBiLSTM,123,2024,8540,0.934805
WordBiLSTM,123,2025,7383,0.937559
WordBiLSTM,2024,2024,8540,0.931601
WordBiLSTM,2024,2025,7383,0.936842
WordBiLSTM,777,2024,8540,0.934413
WordBiLSTM,777,2025,7383,0.935005
WordBiGRU,42,2024,8540,0.934716
WordBiGRU,42,2025,7383,0.935671
WordBiGRU,7,2024,8540,0.932163
WordBiGRU,7,2025,7383,0.934291
WordBiGRU,123,2024,8540,0.93213
WordBiGRU,123,2025,7383,0.935998
WordBiGRU,2024,2024,8540,0.931844
WordBiGRU,2024,2025,7383,0.933387
WordBiGRU,777,2024,8540,0.93146
WordBiGRU,777,2025,7383,0.933783
WordTransformer,42,2024,8540,0.9372
WordTransformer,42,2025,7383,0.940222
WordTransformer,7,2024,8540,0.93484
WordTransformer,7,2025,7383,0.938375
WordTransformer,123,2024,8540,0.934434
WordTransformer,123,2025,7383,0.935665
WordTransformer,2024,2024,8540,0.935965
WordTransformer,2024,2025,7383,0.935318
WordTransformer,777,2024,8540,0.936689
WordTransformer,777,2025,7383,0.936497
