Year,Model,N,F1,F1_4dp
2024,CharBiRNN,8540,0.9530647380436122,0.9531
2025,CharBiRNN,7383,0.9624733447123982,0.9625
2024,CharBiLSTM,8540,0.9544575037214105,0.9545
2025,CharBiLSTM,7383,0.9642025973032454,0.9642
2024,CharBiGRU,8540,0.9547260035879628,0.9547
2025,CharBiGRU,7383,0.9647811072838236,0.9648
2024,CharTransformer,8540,0.9519343413979507,0.9519
2025,CharTransformer,7383,0.9593928116016726,0.9594
2024,WordBiRNN,8540,0.9302192513713093,0.9302
2025,WordBiRNN,7383,0.9348262310797006,0.9348
2024,WordBiLSTM,8540,0.9332744870038668,0.9333
2025,WordBiLSTM,7383,0.9356250841920871,0.9356
2024,WordBiGRU,8540,0.9324624662612628,0.9325
2025,WordBiGRU,7383,0.934625933342331,0.9346
2024,WordTransformer,8540,0.9358254756288414,0.9358
2025,WordTransformer,7383,0.937215268039334,0.9372
