Strategy,Model,Seed,Accuracy,Precision,Recall,F1,Best_epoch,Train_s
unweighted,CharBiRNN,42,0.957797,0.976628,0.939469,0.957688,13,65.8
unweighted,CharBiRNN,7,0.956164,0.970727,0.942187,0.956244,13,65.5
unweighted,CharBiRNN,123,0.955222,0.973813,0.937122,0.955115,17,73.6
unweighted,CharBiRNN,2024,0.959681,0.970577,0.949475,0.95991,16,65.8
unweighted,CharBiRNN,777,0.956855,0.969455,0.944904,0.957022,13,57.0
unweighted,CharBiLSTM,42,0.959179,0.969242,0.949846,0.959446,10,48.7
unweighted,CharBiLSTM,7,0.959618,0.976471,0.943298,0.959598,13,57.8
unweighted,CharBiLSTM,123,0.960372,0.974206,0.947128,0.960476,7,40.0
unweighted,CharBiLSTM,2024,0.960874,0.97041,0.952069,0.961152,13,57.8
unweighted,CharBiLSTM,777,0.95899,0.975345,0.943175,0.95899,17,71.3
unweighted,CharBiGRU,42,0.959116,0.975716,0.943051,0.959105,13,60.4
unweighted,CharBiGRU,7,0.960058,0.97179,0.948981,0.96025,13,59.3
unweighted,CharBiGRU,123,0.958425,0.968959,0.94861,0.958677,7,41.2
unweighted,CharBiGRU,2024,0.958802,0.970525,0.947746,0.959,11,52.6
unweighted,CharBiGRU,777,0.958425,0.971697,0.945769,0.958558,6,36.8
unweighted,CharTransformer,42,0.954594,0.9647,0.945275,0.954889,28,506.8
unweighted,CharTransformer,7,0.955096,0.966852,0.94404,0.95531,26,489.8
unweighted,CharTransformer,123,0.957357,0.967356,0.948116,0.957639,40,733.7
unweighted,CharTransformer,2024,0.955096,0.969346,0.941445,0.955192,31,594.2
unweighted,CharTransformer,777,0.95428,0.964678,0.944657,0.954562,29,559.3
unweighted,WordBiRNN,42,0.931232,0.944727,0.918468,0.931412,8,44.2
unweighted,WordBiRNN,7,0.930038,0.935822,0.92588,0.930825,13,57.9
unweighted,WordBiRNN,123,0.932488,0.937984,0.928598,0.933267,9,46.6
unweighted,WordBiRNN,2024,0.930541,0.938292,0.924151,0.931168,16,67.1
unweighted,WordBiRNN,777,0.929724,0.945922,0.914021,0.929698,10,50.5
unweighted,WordBiLSTM,42,0.931043,0.948468,0.914021,0.930926,6,38.0
unweighted,WordBiLSTM,7,0.930352,0.94204,0.91958,0.930675,6,38.1
unweighted,WordBiLSTM,123,0.933492,0.940521,0.927857,0.934146,7,41.9
unweighted,WordBiLSTM,2024,0.930729,0.943317,0.918962,0.930981,13,59.2
unweighted,WordBiLSTM,777,0.931546,0.945894,0.917851,0.931661,7,41.6
unweighted,WordBiGRU,42,0.930855,0.949949,0.912044,0.930611,8,44.1
unweighted,WordBiGRU,7,0.928594,0.942508,0.91538,0.928746,13,59.4
unweighted,WordBiGRU,123,0.931985,0.937922,0.92761,0.932737,7,42.2
unweighted,WordBiGRU,2024,0.931608,0.94241,0.921804,0.931993,13,61.8
unweighted,WordBiGRU,777,0.929033,0.94448,0.914145,0.929065,10,50.0
unweighted,WordTransformer,42,0.926584,0.969241,0.883632,0.924459,15,114.3
unweighted,WordTransformer,7,0.925768,0.965522,0.885608,0.92384,14,108.2
unweighted,WordTransformer,123,0.930227,0.936282,0.925757,0.93099,5,59.7
unweighted,WordTransformer,2024,0.925642,0.962522,0.888326,0.923937,9,81.9
unweighted,WordTransformer,777,0.925265,0.968009,0.882149,0.923087,6,65.6
oversampling,CharBiRNN,42,0.955724,0.962569,0.949846,0.956165,15,78.0
oversampling,CharBiRNN,7,0.953903,0.963131,0.945522,0.954245,14,74.6
oversampling,CharBiRNN,123,0.955285,0.967693,0.943545,0.955467,15,79.2
oversampling,CharBiRNN,2024,0.955976,0.969639,0.942928,0.956097,22,104.3
oversampling,CharBiRNN,777,0.956415,0.970024,0.943422,0.956538,13,70.7
oversampling,CharBiLSTM,42,0.959744,0.971772,0.948363,0.959925,10,61.5
oversampling,CharBiLSTM,7,0.958739,0.973155,0.944904,0.958822,9,58.9
oversampling,CharBiLSTM,123,0.958802,0.975822,0.94231,0.958773,9,57.0
oversampling,CharBiLSTM,2024,0.958048,0.970599,0.94614,0.958213,11,64.7
oversampling,CharBiLSTM,777,0.958676,0.975938,0.941939,0.958637,8,54.2
oversampling,CharBiGRU,42,0.958425,0.975682,0.941692,0.958386,11,66.0
oversampling,CharBiGRU,7,0.958676,0.974722,0.943175,0.958689,9,57.6
oversampling,CharBiGRU,123,0.958613,0.972547,0.945275,0.958717,6,47.0
oversampling,CharBiGRU,2024,0.960497,0.969324,0.95244,0.960808,9,58.2
oversampling,CharBiGRU,777,0.958174,0.967056,0.950093,0.9585,8,53.4
oversampling,CharTransformer,42,0.951579,0.960513,0.943545,0.951954,13,348.6
oversampling,CharTransformer,7,0.955536,0.959105,0.953181,0.956134,22,532.4
oversampling,CharTransformer,123,0.955034,0.962517,0.948487,0.95545,19,458.7
oversampling,CharTransformer,2024,0.954217,0.96026,0.949228,0.954712,22,514.5
oversampling,CharTransformer,777,0.954657,0.964119,0.946016,0.954982,24,548.0
oversampling,WordBiRNN,42,0.932362,0.937531,0.928845,0.933168,12,65.9
oversampling,WordBiRNN,7,0.931294,0.936308,0.92798,0.932126,10,57.2
oversampling,WordBiRNN,123,0.929913,0.932458,0.929463,0.930958,9,53.6
oversampling,WordBiRNN,2024,0.931483,0.935681,0.929092,0.932375,13,67.9
oversampling,WordBiRNN,777,0.929976,0.945153,0.91538,0.930028,10,57.3
oversampling,WordBiLSTM,42,0.932174,0.938931,0.926868,0.932861,8,51.3
oversampling,WordBiLSTM,7,0.931546,0.936014,0.928845,0.932416,5,40.2
oversampling,WordBiLSTM,123,0.933116,0.938061,0.929833,0.933929,11,62.3
oversampling,WordBiLSTM,2024,0.93186,0.937469,0.927857,0.932638,11,62.3
oversampling,WordBiLSTM,777,0.932362,0.940166,0.92588,0.932968,5,40.5
oversampling,WordBiGRU,42,0.930164,0.944834,0.916121,0.930256,9,54.3
oversampling,WordBiGRU,7,0.931608,0.93151,0.934157,0.932832,6,43.6
oversampling,WordBiGRU,123,0.932864,0.935532,0.93218,0.933853,6,43.5
oversampling,WordBiGRU,2024,0.930666,0.935034,0.928104,0.931556,9,54.6
oversampling,WordBiGRU,777,0.932739,0.940431,0.926374,0.93335,10,60.8
oversampling,WordTransformer,42,0.937449,0.939893,0.936875,0.938382,10,114.8
oversampling,WordTransformer,7,0.93456,0.940427,0.930204,0.935288,8,97.5
oversampling,WordTransformer,123,0.933681,0.936175,0.933169,0.93467,15,145.7
oversampling,WordTransformer,2024,0.932927,0.936405,0.931316,0.933854,16,150.3
oversampling,WordTransformer,777,0.933932,0.942011,0.927116,0.934504,12,126.8
balanced,CharBiRNN,42,0.955662,0.968429,0.943545,0.955825,14,64.4
balanced,CharBiRNN,7,0.954782,0.972212,0.937863,0.954728,20,85.2
balanced,CharBiRNN,123,0.954594,0.967529,0.94231,0.954753,13,59.1
balanced,CharBiRNN,2024,0.955724,0.968314,0.943792,0.955896,29,103.6
balanced,CharBiRNN,777,0.956792,0.966495,0.947869,0.957091,14,59.2
balanced,CharBiLSTM,42,0.956855,0.96416,0.950463,0.957263,14,61.0
balanced,CharBiLSTM,7,0.956792,0.959662,0.955158,0.957405,12,54.4
balanced,CharBiLSTM,123,0.960309,0.976017,0.945151,0.960336,14,61.0
balanced,CharBiLSTM,2024,0.958237,0.962871,0.954663,0.958749,15,65.1
balanced,CharBiLSTM,777,0.957043,0.966746,0.948116,0.957341,9,46.0
balanced,CharBiGRU,42,0.958425,0.976413,0.940951,0.958354,10,47.4
balanced,CharBiGRU,7,0.959116,0.971497,0.947375,0.959285,15,62.7
balanced,CharBiGRU,123,0.958927,0.971845,0.946634,0.959074,7,38.8
balanced,CharBiGRU,2024,0.958613,0.965681,0.95244,0.959015,8,42.0
balanced,CharBiGRU,777,0.957294,0.972474,0.942681,0.957345,9,45.2
balanced,CharTransformer,42,0.954782,0.961341,0.949228,0.955246,47,757.0
balanced,CharTransformer,7,0.954092,0.957164,0.952316,0.954734,27,498.6
balanced,CharTransformer,123,0.955285,0.963116,0.948363,0.955683,27,491.4
balanced,CharTransformer,2024,0.954531,0.960745,0.949351,0.955014,27,490.1
balanced,CharTransformer,777,0.95541,0.961159,0.95071,0.955906,30,536.3
balanced,WordBiRNN,42,0.930792,0.936353,0.926868,0.931587,11,51.1
balanced,WordBiRNN,7,0.926647,0.940817,0.913156,0.92678,10,47.1
balanced,WordBiRNN,123,0.930415,0.936088,0.926374,0.931206,10,47.1
balanced,WordBiRNN,2024,0.931043,0.936494,0.927239,0.931844,15,61.9
balanced,WordBiRNN,777,0.932299,0.936761,0.929586,0.93316,9,44.5
balanced,WordBiLSTM,42,0.929222,0.944501,0.914515,0.929266,8,42.4
balanced,WordBiLSTM,7,0.928782,0.944679,0.913403,0.928778,8,42.4
balanced,WordBiLSTM,123,0.934686,0.937927,0.933292,0.935604,9,45.3
balanced,WordBiLSTM,2024,0.932927,0.933391,0.934775,0.934082,9,45.2
balanced,WordBiLSTM,777,0.93186,0.936379,0.929092,0.932722,9,45.3
balanced,WordBiGRU,42,0.930101,0.933557,0.928598,0.931071,8,41.9
balanced,WordBiGRU,7,0.929787,0.934271,0.927116,0.93068,14,59.5
balanced,WordBiGRU,123,0.929599,0.945225,0.914515,0.929616,14,59.6
balanced,WordBiGRU,2024,0.93255,0.936792,0.93008,0.933424,9,44.8
balanced,WordBiGRU,777,0.931043,0.934327,0.92971,0.932012,9,45.1
balanced,WordTransformer,42,0.936507,0.938692,0.936257,0.937473,17,125.5
balanced,WordTransformer,7,0.933367,0.94128,0.926745,0.933956,8,76.8
balanced,WordTransformer,123,0.933932,0.938816,0.930698,0.934739,15,115.0
balanced,WordTransformer,2024,0.932425,0.930772,0.936751,0.933752,8,73.3
balanced,WordTransformer,777,0.934183,0.938301,0.93181,0.935044,9,81.5
